Pays;Ville;Etablissement;Cote;Lien IIIF
Belgique;Gent;Universiteitsbibliotheek;0234;https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A7F0C4994-C579-11E7-8646-155E6EE4309A
Belgique;Tournai;Bibliothèque du Séminaire;015;https://bvmm.irht.cnrs.fr/iiif/21126/manifest
Belgique;Tournai;Bibliothèque du Séminaire;016;https://bvmm.irht.cnrs.fr/iiif/21517/manifest
Canada;Vancouver;University of British Columbia Library;BX2080 A2 1430;https://iiif.library.ubc.ca/presentation/cdm.manuscripts.1-0224790/manifest
États-Unis;Baltimore;The Walters Art Museum;W.0041;https://purl.stanford.edu/cq459jb8197/iiif/manifest
États-Unis;Baltimore;The Walters Art Museum;W.0088;https://www.wdl.org/en/item/19234/manifest
États-Unis;Baltimore;The Walters Art Museum;W.0102;https://purl.stanford.edu/xq443wf4818/iiif/manifest
États-Unis;Baltimore;The Walters Art Museum;W.0104;https://www.wdl.org/en/item/19223/manifest
États-Unis;Baltimore;The Walters Art Museum;W.0168;https://purl.stanford.edu/qm670kv1873/iiif/manifest
États-Unis;Baltimore;The Walters Art Museum;W.0185;https://purl.stanford.edu/by397hw6027/iiif/manifest
États-Unis;Baltimore;The Walters Art Museum;W.0420;https://purl.stanford.edu/fx508wc9951/iiif/manifest
États-Unis;Baltimore;The Walters Art Museum;W.0437;https://purl.stanford.edu/vn362wg6218/iiif/manifest
États-Unis;Cambridge;Houghton Library;Lat 017;https://iiif.lib.harvard.edu/manifests/drs:10840328
États-Unis;Cambridge;Houghton Library;Lat 133;https://iiif.lib.harvard.edu/manifests/drs:10614144
États-Unis;Cambridge;Houghton Library;Lat 159;https://iiif.lib.harvard.edu/manifests/drs:4771822
États-Unis;Cambridge;Houghton Library;Lat 160;https://iiif.lib.harvard.edu/manifests/drs:15963247
États-Unis;Cambridge;Houghton Library;Lat 161;https://iiif.lib.harvard.edu/manifests/drs:47957493
États-Unis;Cambridge;Houghton Library;Lat 249;https://iiif.lib.harvard.edu/manifests/drs:26120881
États-Unis;Cambridge;Houghton Library;Lat 250;https://iiif.lib.harvard.edu/manifests/drs:10148946
États-Unis;Cambridge;Houghton Library;Lat 251;https://iiif.lib.harvard.edu/manifests/drs:10908606
États-Unis;Cambridge;Houghton Library;Lat 253;https://iiif.lib.harvard.edu/manifests/drs:10643868
États-Unis;Cambridge;Houghton Library;Richardson 05;https://iiif.lib.harvard.edu/manifests/drs:17695424
États-Unis;Cambridge;Houghton Library;Richardson 06;https://iiif.lib.harvard.edu/manifests/drs:15917855
États-Unis;Cambridge;Houghton Library;Richardson 07;https://iiif.lib.harvard.edu/manifests/drs:5981093
États-Unis;Cambridge;Houghton Library;Richardson 09;https://iiif.lib.harvard.edu/manifests/drs:16031964
États-Unis;Cambridge;Houghton Library;Richardson 34;https://iiif.lib.harvard.edu/manifests/drs:6135067
États-Unis;Cambridge;Houghton Library;Richardson 42;https://iiif.lib.harvard.edu/manifests/drs:9827622
États-Unis;Cambridge;Houghton Library;Richardson 45;https://iiif.lib.harvard.edu/manifests/drs:47899293
États-Unis;Cambridge;Houghton Library;Typ 0032;https://iiif.lib.harvard.edu/manifests/drs:48463951
États-Unis;Cambridge;Houghton Library;Typ 0253;https://iiif.lib.harvard.edu/manifests/drs:49309022
États-Unis;Cambridge;Houghton Library;Typ 0302;https://iiif.lib.harvard.edu/manifests/drs:49592873
États-Unis;Cambridge;Houghton Library;Typ 0443;https://iiif.lib.harvard.edu/manifests/drs:49314349
États-Unis;Cambridge;Houghton Library;Typ 0443.1;https://iiif.lib.harvard.edu/manifests/drs:48280898
États-Unis;Cambridge;Houghton Library;Typ 0463;https://iiif.lib.harvard.edu/manifests/drs:422676207
États-Unis;Cambridge;Houghton Library;Typ 0464;https://iiif.lib.harvard.edu/manifests/drs:49756151
États-Unis;Cambridge;Houghton Library;Typ 0957;https://iiif.lib.harvard.edu/manifests/drs:6522890
États-Unis;Cambridge;Houghton Library;Typ 0958;https://iiif.lib.harvard.edu/manifests/drs:6522891
États-Unis;Cambridge;Houghton Library;Typ 0999;https://iiif.lib.harvard.edu/manifests/drs:9899749
États-Unis;Cambridge;Houghton Library;Typ 1000;https://iiif.lib.harvard.edu/manifests/drs:10309732
États-Unis;Cambridge;Houghton Library;Typ 1005;https://iiif.lib.harvard.edu/manifests/drs:11676290
États-Unis;Cambridge;Houghton Library;Typ 1006;https://iiif.lib.harvard.edu/manifests/drs:11676291
États-Unis;Cambridge;Houghton Library;Typ 1008;https://iiif.lib.harvard.edu/manifests/drs:11676293
États-Unis;Cambridge;Houghton Library;Typ 1012;https://iiif.lib.harvard.edu/manifests/drs:11676296
États-Unis;Cambridge;Houghton Library;Widener 02;https://iiif.lib.harvard.edu/manifests/drs:47779375
France;Abbeville;Bibliothèque municipale;015;https://bvmm.irht.cnrs.fr/iiif/21537/manifest
France;Albi;Bibliothèque municipale;0052 (004);https://bvmm.irht.cnrs.fr/iiif/2801/manifest
France;Albi;Bibliothèque municipale;0053 (002);https://bvmm.irht.cnrs.fr/iiif/2804/manifest
France;Albi;Bibliothèque municipale;inc. Roch. 12429;https://bvmm.irht.cnrs.fr/iiif/2853/manifest
France;Angers;Bibliothèque municipale;0134 (0126);https://bvmm.irht.cnrs.fr/iiif/4645/manifest
France;Angers;Bibliothèque municipale;0138 (0130);https://bvmm.irht.cnrs.fr/iiif/1069/manifest
France;Angers;Bibliothèque municipale;2047;https://bvmm.irht.cnrs.fr/iiif/4659/manifest
France;Angers;Bibliothèque municipale;2048;https://bvmm.irht.cnrs.fr/iiif/4660/manifest
France;Angers;Bibliothèque municipale;2104;https://bvmm.irht.cnrs.fr/iiif/1140/manifest
France;Angers;Bibliothèque municipale;2111;https://bvmm.irht.cnrs.fr/iiif/1141/manifest
France;Angers;Bibliothèque municipale;impr. Rés. T 1343;https://bvmm.irht.cnrs.fr/iiif/1147/manifest
France;Angers;Musée des Beaux-Arts;2003.1.071;https://bvmm.irht.cnrs.fr/iiif/1383/manifest
France;Angers;Musée des Beaux-Arts;2003.1.072;https://bvmm.irht.cnrs.fr/iiif/2385/manifest
France;Angers;Musée des Beaux-Arts;2003.1.073;https://bvmm.irht.cnrs.fr/iiif/1385/manifest
France;Angers;Musée des Beaux-Arts;2003.1.074;https://bvmm.irht.cnrs.fr/iiif/1386/manifest
France;Angers;Musée des Beaux-Arts;2003.1.075;https://bvmm.irht.cnrs.fr/iiif/1387/manifest
France;Angers;Musée des Beaux-Arts;2003.1.076;https://bvmm.irht.cnrs.fr/iiif/1411/manifest
France;Angers;Musée des Beaux-Arts;2003.1.085;https://bvmm.irht.cnrs.fr/iiif/1388/manifest
France;Angers;Musée des Beaux-Arts;2003.1.784;https://bvmm.irht.cnrs.fr/iiif/1397/manifest
