Manuscript H-ID,rec_Title,repository_key (Organisation) H-ID,Short name / acronym,Full name of organisation,Country(ies),repository_key (Organisation) Record Title,idno,iiif manifest
14,"Innsbruck UB, 281",740110,Innsbruck UB,"Innsbruck, Universitätsbibliothek",Austria,Innsbruck UB,281,https://diglib.uibk.ac.at/i3f/v20/5921243/manifest
163,"Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 321",739655,"Brugge, Openbare Bibliotheek Brugge (Biekorf)","Brugge, Openbare Bibliotheek Brugge (Biekorf)",Belgium,"Brugge, Openbare Bibliotheek Brugge (Biekorf)",Ms. 321,https://sharedcanvas.be/IIIF/manifests/B_OB_MS321
164,"Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 329",739655,"Brugge, Openbare Bibliotheek Brugge (Biekorf)","Brugge, Openbare Bibliotheek Brugge (Biekorf)",Belgium,"Brugge, Openbare Bibliotheek Brugge (Biekorf)",Ms. 329,https://sharedcanvas.be/IIIF/manifests/B_OB_MS329
349,"Gent UB, 186",739678,Gent UB,"Gent, Universiteitsbibliotheek",Belgium,Gent UB,186,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AACDEC1CE-F244-11E7-B6BF-C49F0AD9BE4D
350,"Gent UB, 197",739678,Gent UB,"Gent, Universiteitsbibliotheek",Belgium,Gent UB,197,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ACC0726BC-F6FA-11E7-8F64-7FDC0AD9BE4D
352,"Gent UB, 203",739678,Gent UB,"Gent, Universiteitsbibliotheek",Belgium,Gent UB,203,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A520E37D6-23C5-11E8-8556-EB9A0AD9BE4D
353,"Gent UB, 234",739678,Gent UB,"Gent, Universiteitsbibliotheek",Belgium,Gent UB,234,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A7F0C4994-C579-11E7-8646-155E6EE4309A
417,"Tournai, Bibliothèque du Séminaire, 15",739866,"Tournai, Bibliothèque du Séminaire","Tournai, Bibliothèque du Séminaire",Belgium,"Tournai, Bibliothèque du Séminaire",15,https://bvmm.irht.cnrs.fr/iiif/21126/manifest
418,"Tournai, Bibliothèque du Séminaire, 16",739866,"Tournai, Bibliothèque du Séminaire","Tournai, Bibliothèque du Séminaire",Belgium,"Tournai, Bibliothèque du Séminaire",16,https://bvmm.irht.cnrs.fr/iiif/21517/manifest
448,"Vancouver UBC Library, BX2080 A2 1430",739955,Vancouver UBC Library,"Vancouver, University of British Columbia Library",Canada,Vancouver UBC Library,BX2080 A2 1430,https://iiif.library.ubc.ca/presentation/cdm.manuscripts.1-0224790/manifest
458,"Basel UB, AN VIII 45",739966,Basel UB,"Basel, Universitätsbibliothek",Switzerland,Basel UB,AN VIII 45,https://www.e-codices.unifr.ch/metadata/iiif/ubb-AN-VIII-0045/manifest.json
461,"Chavannes-près-Renens, Archives cantonales vaudoises, P Château de la Sarraz H 50",739988,"Chavannes-près-Renens, Archives cantonales vaudoises","Chavannes-près-Renens, Archives cantonales vaudoises",Switzerland,"Chavannes-près-Renens, Archives cantonales vaudoises",P Château de la Sarraz H 50,https://www.e-codices.unifr.ch/metadata/iiif/acv-P-Sarraz-H-0050/manifest.json
504,"Genève BGE, Comites Latentes 038",740055,Genève BGE,"Genève, Bibliothèque de Genève",Switzerland,Genève BGE,Comites Latentes 038,https://e-codices.unifr.ch/metadata/iiif/ubb-cl0038/manifest.json
510,"Genève BGE, Comites Latentes 054",740055,Genève BGE,"Genève, Bibliothèque de Genève",Switzerland,Genève BGE,Comites Latentes 054,https://www.e-codices.unifr.ch/metadata/iiif/ubb-cl0054/manifest.json
513,"Genève BGE, Comites Latentes 124",740055,Genève BGE,"Genève, Bibliothèque de Genève",Switzerland,Genève BGE,Comites Latentes 124,https://www.e-codices.unifr.ch/metadata/iiif/ubb-cl0124/manifest.json
521,"Genève BGE, lat. 031",740055,Genève BGE,"Genève, Bibliothèque de Genève",Switzerland,Genève BGE,lat. 031,https://e-codices.unifr.ch/metadata/iiif/bge-lat0031/manifest.json
522,"Genève BGE, lat. 032",740055,Genève BGE,"Genève, Bibliothèque de Genève",Switzerland,Genève BGE,lat. 032,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0032/manifest.json
523,"Genève BGE, lat. 032a",740055,Genève BGE,"Genève, Bibliothèque de Genève",Switzerland,Genève BGE,lat. 032a,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0032a/manifest.json
524,"Genève BGE, lat. 033",740055,Genève BGE,"Genève, Bibliothèque de Genève",Switzerland,Genève BGE,lat. 033,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0033/manifest.json
525,"Genève BGE, lat. 034",740055,Genève BGE,"Genève, Bibliothèque de Genève",Switzerland,Genève BGE,lat. 034,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0034/manifest.json
526,"Genève BGE, lat. 035",740055,Genève BGE,"Genève, Bibliothèque de Genève",Switzerland,Genève BGE,lat. 035,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0035/manifest.json
530,"Genève BGE, lat. 147",740055,Genève BGE,"Genève, Bibliothèque de Genève",Switzerland,Genève BGE,lat. 147,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0147/manifest.json
535,"Genève BGE, lat. 367",740055,Genève BGE,"Genève, Bibliothèque de Genève",Switzerland,Genève BGE,lat. 367,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0367/manifest.json
536,"Hermetschwil, Benediktinerinnenkloster, Cod. chart. 139",740066,"Hermetschwil, Benediktinerinnenkloster","Hermetschwil, Benediktinerinnenkloster",Switzerland,"Hermetschwil, Benediktinerinnenkloster",Cod. chart. 139,https://www.e-codices.unifr.ch/metadata/iiif/hba-chart0139/manifest.json
537,"Hermetschwil, Benediktinerinnenkloster, Cod. chart. 140",740066,"Hermetschwil, Benediktinerinnenkloster","Hermetschwil, Benediktinerinnenkloster",Switzerland,"Hermetschwil, Benediktinerinnenkloster",Cod. chart. 140,https://www.e-codices.unifr.ch/metadata/iiif/hba-chart0140/manifest.json
538,"Hermetschwil, Benediktinerinnenkloster, Cod. chart. 195",740066,"Hermetschwil, Benediktinerinnenkloster","Hermetschwil, Benediktinerinnenkloster",Switzerland,"Hermetschwil, Benediktinerinnenkloster",Cod. chart. 195,https://www.e-codices.unifr.ch/metadata/iiif/hba-chart0195/manifest.json
539,"Hermetschwil, Benediktinerinnenkloster, Cod. membr. 35",740066,"Hermetschwil, Benediktinerinnenkloster","Hermetschwil, Benediktinerinnenkloster",Switzerland,"Hermetschwil, Benediktinerinnenkloster",Cod. membr. 35,https://www.e-codices.unifr.ch/metadata/iiif/hba-membr0035/manifest.json
540,"Hermetschwil, Benediktinerinnenkloster, Cod. membr. 61",740066,"Hermetschwil, Benediktinerinnenkloster","Hermetschwil, Benediktinerinnenkloster",Switzerland,"Hermetschwil, Benediktinerinnenkloster",Cod. membr. 61,https://www.e-codices.unifr.ch/metadata/iiif/hba-membr0061/manifest.json
543,"Luzern, Zentral- und Hochschulbibliothek, P 6 4°",740088,"Luzern, Zentral- und Hochschulbibliothek","Luzern, Zentral- und Hochschulbibliothek",Switzerland,"Luzern, Zentral- und Hochschulbibliothek",P 6 4°,https://www.e-codices.unifr.ch/metadata/iiif/zhl-P0006-4/manifest.json
546,"Neuchâtel BPUN, AF A28",740111,Neuchâtel BPUN,"Neuchâtel, Bibliothèque publique et universitaire de Neuchâtel",Switzerland,Neuchâtel BPUN,AF A28,https://www.e-codices.unifr.ch/metadata/iiif/bpun-A0028/manifest.json
547,"Porrentruy, Bibliothèque cantonale jurassienne, Ms. 9",740122,"Porrentruy, Bibliothèque cantonale jurassienne","Porrentruy, Bibliothèque cantonale jurassienne",Switzerland,"Porrentruy, Bibliothèque cantonale jurassienne",Ms. 9,https://www.e-codices.unifr.ch/metadata/iiif/bcj-0009/manifest.json
562,"Sarnen, Benediktinerkollegium, Cod. membr. 64",740155,"Sarnen, Benediktinerkollegium","Sarnen, Benediktinerkollegium",Switzerland,"Sarnen, Benediktinerkollegium",Cod. membr. 64,https://www.e-codices.unifr.ch/metadata/iiif/bks-membr0064/manifest.json
566,"St. Gallen,Stiftsbibl., Cod. Sang. 2107",740188,"St. Gallen,Stiftsbibl.","St. Gallen, Stiftsbibliothek",Switzerland,"St. Gallen,Stiftsbibl.",Cod. Sang. 2107,https://www.e-codices.unifr.ch/metadata/iiif/csg-2107/manifest.json
567,"St. Gallen,Stiftsbibl., Cod. Sang. 470",740188,"St. Gallen,Stiftsbibl.","St. Gallen, Stiftsbibliothek",Switzerland,"St. Gallen,Stiftsbibl.",Cod. Sang. 470,https://e-codices.unifr.ch/metadata/iiif/csg-0470/manifest.json
