"Manuscript H-ID","repository_key (Organisation) H-ID","Short name / acronym",Country(ies),idno,"iiif manifest",Digitization-type
163,739655,"Brugge, Openbare Bibliotheek Brugge (Biekorf)",Belgium,"Ms. 321",https://sharedcanvas.be/IIIF/manifests/B_OB_SVC_MS012,
164,739655,"Brugge, Openbare Bibliotheek Brugge (Biekorf)",Belgium,"Ms. 329",https://sharedcanvas.be/IIIF/manifests/B_OB_MS329,
625,740266,"Praha, Klášter premonstrátů na Strahově","Czech Republic","DG IV 01",https://collectiones.manuscriptorium.com/assorted/AIPDIG/KKPS__/6/AIPDIG-KKPS__DG_IV_1_____3Z3XO66-cs/,
631,740277,"Praha, Knihovna Národního muzea","Czech Republic",XIII.G.54,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NMP___/8/AIPDIG-NMP___XIII_G_54___39LGU58-cs/,
633,740277,"Praha, Knihovna Národního muzea","Czech Republic",XVI.G.77,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NMP___/D/AIPDIG-NMP___XVI_G_77____2H3QQHD-cs/,
847,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 15",https://digital.dombibliothek-koeln.de/i3f/v20/548112/manifest,
1093,739502,"Madrid, Biblioteca Nacional de España",Spain,"Vitr. 24-01",https://collectiones.manuscriptorium.com/assorted/BNE___/NLS___/6/BNE___-NLS___VITR_024_0014CO1ZM6-es/,
1107,739503,"Madrid, Real Biblioteca",Spain,II/2099,https://collectiones.manuscriptorium.com/assorted/PNES__/PNES__/A/PNES__-PNES__II_2099_____1SFA4YA-es/,
1109,739503,"Madrid, Real Biblioteca",Spain,II/2101,https://collectiones.manuscriptorium.com/assorted/PNES__/PNES__/6/PNES__-PNES__II_2101_____382A9Y6-es/,
1111,739503,"Madrid, Real Biblioteca",Spain,II/2100,https://collectiones.manuscriptorium.com/assorted/PNES__/PNES__/0/PNES__-PNES__II_2100_____3L6PHR0-es/,
1112,739503,"Madrid, Real Biblioteca",Spain,II/Tesoro,https://rbdigital.realbiblioteca.es/files/manifests/II-Tesoro.json?manifest=https://rbdigital.realbiblioteca.es/files/manifests/II-Tesoro.json,
1190,739519,"Ambierle, Musée Alice Taverne",France,"inv. AR 501.01",https://bvmm.irht.cnrs.fr/iiif/35490/manifest,
1221,739521,"Angers, Bibliothèque municipale",France,"0125 (0117)",https://api.irht.cnrs.fr/ark:/63955/fmda103awmlf/manifest.json,
1222,739521,"Angers, Bibliothèque municipale",France,"0126 (0118)",https://api.irht.cnrs.fr/ark:/63955/f6jyt2xsy11a/manifest.json,
