Printed text H-ID,rec_Title,Country ID,settlement,repository,idno,iiif manifest,Digitization-type
778,"Fulda, Hessische Landesbibliothek Fulda, 100 Aa 145a",DEU,Fulda,Hessische Landesbibliothek Fulda,100 Aa 145a,https://fuldig.hs-fulda.de/viewer/api/v1/records/PPN438001117/manifest/,
848,"München, Bayerische Staatsbibliothek, 4 Inc.c.a. 756 g",DEU,München,Bayerische Staatsbibliothek,4 Inc.c.a. 756 g,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00070331/manifest,single
894,"München, Bayerische Staatsbibliothek, Inc.s.a. 77",DEU,München,Bayerische Staatsbibliothek,Inc.s.a. 77,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00036126/manifest,single
1188,"Albi, Bibliothèque municipale, inc. Roch. 12429",FRA,Albi,Bibliothèque municipale,inc. Roch. 12429,https://bvmm.irht.cnrs.fr/iiif/2853/manifest,double
1237,"Angers, Bibliothèque municipale, impr. Rés. T 1343",FRA,Angers,Bibliothèque municipale,impr. Rés. T 1343,https://bvmm.irht.cnrs.fr/iiif/1147/manifest,double
1251,"Angers, Musée des Beaux-Arts, impr. 2003.1.078",FRA,Angers,Musée des Beaux-Arts,impr. 2003.1.078,https://bvmm.irht.cnrs.fr/iiif/1372/manifest,double
1276,"Arras, Bibliothèque municipale, Impr. 0786",FRA,Arras,Bibliothèque municipale,Impr. 0786,https://api.irht.cnrs.fr/ark:/63955/f91gi2234u0f/manifest.json,
1312,"Auch, Bibliothèque municipale, impr. 1064",FRA,Auch,Bibliothèque municipale,impr. 1064,https://bvmm.irht.cnrs.fr/iiif/1188/manifest,double
1315,"Autun, Bibliothèque de la Société Eduenne, Album Bulliot, n° 31",FRA,Autun,Bibliothèque de la Société Eduenne,"Album Bulliot, n° 31",https://bvmm.irht.cnrs.fr/iiif/22909/manifest,double
1318,"Autun, Bibliothèque municipale, impr. SR 347",FRA,Autun,Bibliothèque municipale,impr. SR 347,https://bvmm.irht.cnrs.fr/iiif/22744/manifest,double
1389,"Beaune, Archives hospitalières, impr. Layette 123, 07",FRA,Beaune,Archives hospitalières,"impr. Layette 123, 07",https://bvmm.irht.cnrs.fr/iiif/23169/manifest,double
