Country;City;Institution;ID;URL
BE;Gent;Universiteitsbibliotheek;234;https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A7F0C4994-C579-11E7-8646-155E6EE4309A
BE;Tournai;Bibliothèque du Séminaire;15;https://bvmm.irht.cnrs.fr/iiif/21126/manifest
BE;Tournai;Bibliothèque du Séminaire;16;https://bvmm.irht.cnrs.fr/iiif/21517/manifest
CA;Vancouver;University of British Columbia Library;BX2080 A2 1430;https://iiif.library.ubc.ca/presentation/cdm.manuscripts.1-0224790/manifest
FR;Abbeville;Bibliothèque municipale;15;https://bvmm.irht.cnrs.fr/iiif/21537/manifest
FR;Albi;Bibliothèque municipale;0052 (004);https://bvmm.irht.cnrs.fr/iiif/2801/manifest
FR;Albi;Bibliothèque municipale;0053 (002);https://bvmm.irht.cnrs.fr/iiif/2804/manifest
FR;Albi;Bibliothèque municipale;inc. Roch. 12429;https://bvmm.irht.cnrs.fr/iiif/2853/manifest
FR;Angers;Bibliothèque municipale;2047;https://bvmm.irht.cnrs.fr/iiif/4659/manifest
FR;Angers;Bibliothèque municipale;2048;https://bvmm.irht.cnrs.fr/iiif/4660/manifest
FR;Angers;Bibliothèque municipale;2104;https://bvmm.irht.cnrs.fr/iiif/1140/manifest
FR;Angers;Bibliothèque municipale;2111;https://bvmm.irht.cnrs.fr/iiif/1141/manifest
FR;Angers;Bibliothèque municipale;0134 (0126);https://bvmm.irht.cnrs.fr/iiif/4645/manifest
FR;Angers;Bibliothèque municipale;0138 (0130);https://bvmm.irht.cnrs.fr/iiif/1069/manifest
FR;Angers;Bibliothèque municipale;impr. Rés. T 1343;https://bvmm.irht.cnrs.fr/iiif/1147/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.071;https://bvmm.irht.cnrs.fr/iiif/1383/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.072;https://bvmm.irht.cnrs.fr/iiif/2385/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.073;https://bvmm.irht.cnrs.fr/iiif/1385/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.074;https://bvmm.irht.cnrs.fr/iiif/1386/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.075;https://bvmm.irht.cnrs.fr/iiif/1387/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.076;https://bvmm.irht.cnrs.fr/iiif/1411/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.085;https://bvmm.irht.cnrs.fr/iiif/1388/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.784;https://bvmm.irht.cnrs.fr/iiif/1397/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.785;https://bvmm.irht.cnrs.fr/iiif/1399/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.786;https://bvmm.irht.cnrs.fr/iiif/1400/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.787;https://bvmm.irht.cnrs.fr/iiif/1398/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.788;https://bvmm.irht.cnrs.fr/iiif/1390/manifest
FR;Angers;Musée des Beaux-Arts;2003.1.789;https://bvmm.irht.cnrs.fr/iiif/1389/manifest
FR;Angers;Musée des Beaux-Arts;impr. 2003.1.078;https://bvmm.irht.cnrs.fr/iiif/1372/manifest
FR;Argentan;Bibliothèque municipale;27;https://bvmm.irht.cnrs.fr/iiif/4257/manifest
FR;Arras;Bibliothèque municipale;0366 (0212);https://bvmm.irht.cnrs.fr/iiif/23957/manifest
FR;Arras;Bibliothèque municipale;0377 (0783);https://bvmm.irht.cnrs.fr/iiif/24316/manifest
FR;Arras;Bibliothèque municipale;0384 (0232);https://bvmm.irht.cnrs.fr/iiif/23962/manifest
FR;Arras;Bibliothèque municipale;0779 (0778);https://bvmm.irht.cnrs.fr/iiif/24217/manifest
FR;Arras;Bibliothèque municipale;0898 (0226);https://bvmm.irht.cnrs.fr/iiif/23976/manifest
FR;Arras;Bibliothèque municipale;0900 (0235);https://bvmm.irht.cnrs.fr/iiif/23977/manifest
FR;Arras;Bibliothèque municipale;1051 (0233);https://bvmm.irht.cnrs.fr/iiif/24000/manifest
FR;Arras;Bibliothèque municipale;1135 (0219);https://bvmm.irht.cnrs.fr/iiif/24001/manifest
FR;Auch;Bibliothèque municipale;impr. 1064;https://bvmm.irht.cnrs.fr/iiif/1188/manifest
FR;Autun;Bibliothèque de la Société Eduenne;Album Bulliot, n° 05;https://bvmm.irht.cnrs.fr/iiif/22886/manifest
FR;Autun;Bibliothèque de la Société Eduenne;Album Bulliot, n° 31;https://bvmm.irht.cnrs.fr/iiif/22909/manifest
FR;Autun;Bibliothèque de la Société Eduenne;M 004;https://bvmm.irht.cnrs.fr/iiif/22834/manifest
FR;Autun;Bibliothèque municipale;269;https://bvmm.irht.cnrs.fr/iiif/22734/manifest
FR;Autun;Bibliothèque municipale;impr. SR 347;https://bvmm.irht.cnrs.fr/iiif/22744/manifest
FR;Autun;Bibliothèque municipale;Legs Chevalier n° 15;https://bvmm.irht.cnrs.fr/iiif/12718/manifest
FR;Autun;Bibliothèque municipale;S 119 (099 A);https://bvmm.irht.cnrs.fr/iiif/22185/manifest
