"","Work.RecordTitle","n"
"1","A solis ortus cardine ad usque terrae limitem Christum canamus principem natum Maria virgine ; Beatu | Cantus ID 008248.1 | AH 67 | Hymn | h8",2
"2","A solis ortus cardine ad usque terrae limitem Christum canamus principem natum Maria virgine ; Beatu | Cantus ID 008248.1 | AH 67 | Hymn | h8|Maria, plena gratiae, Mater misericordiae, Tu nos ab hoste protege Et hora mortis suscipe. Rogamus t | AH 16464 | | Hymn | h742",3
"3","Ab inicio et ante secula creata sum et usque ad futurum seculum non desinam et in habitacione sancta | HORAE | Ecclesiasticus 24:14 | Short lesson | h12",77
"4","Accipe itaque, piissima ac misericordissima, quascunque exiles meritis tuis impares gratiarum action | HORAE | Hildefonsus Toletanus incertus, Sermo IX (PL 96, 272 b) | Lesson | h14",2
"5","Ad Dominum cum tribularer clamavi, et exaudivit me. Domine, libera animam meam a labiis iniquis et a | HORAE | Psalm 119 | Psalm | h16",174
"6","Ad Dominum Deum nostrum | HORAE | | Verse | h17",1
"7","Ad hanc utique descendit Sanctus Spiritus ; huic virtus obumbravit Altissimi ; ex ea potens virtutum | HORAE | Maximus Taurinensis incertus, Sermo XII (PL 57, 867 c) | Lesson | h22",1
"8","Ad nutum domini nostrum ditantis honorem sicut spina rosam genuit Judaea Mariam | Cantus ID 006024 | | Respond | h23",5
"9","Ad te clamant | HORAE | | Lesson | h26",1
"10","Ad te levavi oculos meos,qui habitas in caelis. Ecce sicut oculi servorumin manibus dominorum suorum | HORAE | Psalm 122 | Psalm | h27",212
"11","Adam vetus quod polluit Adam novus hoc abluit tumens quod ille dejecit humillimus hic erigit | Cantus ID 8257f | | Hymn | h29",1
"12","Adducentur regi | HORAE | Psalm 44:15 | Verse | h30",1
"13","Adhaesit pavimento anima mea : vivifica me secundum verbum tuum | HORAE | Psalm 118, 25 | Psalm | h33",6
"14","Adiuvet nos, quaesumus, domine, beatae Mariae semper virginis intercessio veneranda et, a cunctis pe | Corpus orationum 203 | | Oration | h1296",8
"15","Adjuva nos tuis precibus mater Christi Maria | Cantus ID 006041 | | Respond | h37",2
"16","Adjuvabit eam deus vultu suo | Cantus ID 006042 | Psalm 45:6 | Respond | h38",18
"17","Adjuvabit eam deus vultu suo | Cantus ID 007934 | Psalm 45:6 | Versicle | h39",2
"18","Adjuvabit eam deus vultu suo deus in medio ejus non commovebitur | Cantus ID 006789a | | Verse | h41",4
"19","Admitte piissima Dei genitrix preces nostras intra sacrarium tue exaudittionis et reporta nobis anti | HORAE | Fulberti Carnotensis episcopi, Sermo IX (PL 141, 338 d) | Lesson | h43",72
"20","Adsis nobis gloriosissima virgo | HORAE | | Lesson | h47",1
"21","Adsit nobis, domine, quaesumus, virtus spiritus sancti, quae et corda nostra clementer expurget et a | Corpus Orationum 218 | | Oration | h48",2
"22","Adsit nobis, quaesumus, domine, sancti tui spiritus gratia, quae, efficacissimam suae pietatis conso | Corpus orationum 221 | | Oration | h49",5
"23","Agnoscat omne saeculum venisse vitae praemium post hostis asperi jugum apparuit redemptio | Cantus ID 8257 | | Hymn | h50",1
"24","Alleluia | Cantus ID 001326 | | Antiphon | h53",29
"25","Alma redemptoris mater quae pervia caeli porta manes et stella maris succurre cadenti surgere qui cu | Cantus ID 001356 | | Antiphon | h57",7
"26","Alma virgo Maria quae genuisti Christum intercede pro nobis | Cantus ID 001357 | | Antiphon | h58",10
"27","Altior enim celo est de qua loquimur ; abysso profundior, cui laudes dicere conamur | HORAE | Auctor incertus, ""Sermo Autberti presbyteri de Assumptione sanctae Mariae"" (PL 89, 1277 a) | Lesson | h64",1
