"from","to","weight"
"Agde","Agen",33
"Agde","Aix-en-Provence",78
"Agde","Amiens",28
"Agde","Angers",28
"Agde","Aniane O.S.B.",39
"Agde","Antwerpen",25
"Agde","Apt",73
"Agde","Arles",43
"Agde","Arras [1301 to 1400]",26
"Agde","Arras [1401 to 1500]",11
"Agde","Arras [1501 to 1600]",33
"Agde","Arras [1595]",13
"Agde","Arras Saint-Vaast O.S.B.",28
"Agde","Auch",39
"Agde","Autun",25
"Agde","Auxerre",26
"Agde","Avranches",31
"Agde","Baltimore The Walters Art Museum W.0166",26
"Agde","Baltimore The Walters Art Museum W.0169",26
"Agde","Bayeux",30
"Agde","Bazas",30
"Agde","Beaugency",27
"Agde","Beaulieu Notre Dame O.Cist",33
"Agde","Beaune Notre-Dame",35
"Agde","Beauvais",26
"Agde","Besançon",50
"Agde","Béziers",89
"Agde","Bordeaux",23
"Agde","Bourges",32
"Agde","Bourgueil Saint-Pierre O.S.B.",31
"Agde","Bremen",50
"Agde","Brugge",30
"Agde","Brugge Sint-Donaaskerk",15
"Agde","Bruxelles Sainte-Gudule O.S.A.",27
"Agde","Cambrai",23
"Agde","Canterbury Saint-Augustin",28
"Agde","Carcassonne",33
"Agde","Cavaillon",31
"Agde","Chaise-Dieu (La) O.S.B.",31
"Agde","Chalon-sur-Saône",21
"Agde","Châlons-en-Champagne",23
"Agde","Chartres",23
"Agde","Chartres Saint-Père-en-Vallée O.S.B. [1301 to 1500]",38
"Agde","Chartres Saint-Père-en-Vallée O.S.B. [1401 to 1500]",10
"Agde","Chezal-Benoît O.S.B.",32
"Agde","Clermont",50
"Agde","Cluny O.S.B.",32
"Agde","Compiègne Saint-Corneille O.S.B.",46
"Agde","Coutances",21
"Agde","Dax",40
"Agde","Die",21
"Agde","Dijon Saint-Bénigne O.S.B.",18
"Agde","Dijon Saint-Etienne",32
"Agde","Dol",30
"Agde","Douai Saint-Amé",20
"Agde","Durham Saint Cuthbert O.S.B.",15
"Agde","Elne",48
"Agde","Embrun",65
"Agde","Essômes O.S.A.",21
"Agde","Esztergom",42
"Agde","Évreux",21
"Agde","Évreux Saint-Sauveur O.S.B.",13
"Agde","Faremoutiers Notre-Dame O.S.B.",37
"Agde","Fontevrault Notre-Dame O.S.B.",21
"Agde","Fréjus",87
"Agde","Genève",31
"Agde","Gerona",35
"Agde","Grandmont O.S.B.",18
"Agde","Grasse",82
"Agde","Grenoble",42
"Agde","Hasnon",41
"Agde","Hénin-Liétard Notre-Dame O.S.A.",22
"Agde","Hortulus animae",58
"Agde","Josaphat Notre-Dame O.S.B.",31
"Agde","Köln",58
"Agde","Konstanz",54
"Agde","La Croix-Saint-Leufroy O.S.B.",27
"Agde","La Riche Saint-Côme O.S.A.",23
"Agde","Lagrasse Notre-Dame O.S.B.",34
"Agde","Langres",28
"Agde","Laon",31
"Agde","Le Mans",28
"Agde","Le Puy-en-Velay",57
"Agde","Lérida",71
"Agde","Lérins O.S.B.",33
"Agde","Liège [1201 to 1300]",29
"Agde","Liège [1401 to 1500]",60
"Agde","Lille Saint-Pierre",26
"Agde","Limoges",34
"Agde","Limoges Saint-Martial O.S.B.",36
"Agde","Lisieux",28
"Agde","Loches",26
"Agde","Lund",60
"Agde","Lyon",23
"Agde","Lyre Notre-Dame O.S.B.",17
"Agde","Mâcon",29
"Agde","Maguelonne",88
"Agde","Mainz",59
"Agde","Marmoutier O.S.B.",26
"Agde","Marseille",48
"Agde","Marseille Saint-Victor O.S.B.",29
"Agde","Meaux",28
"Agde","Mende",82
"Agde","Metz",25
"Agde","Metz Saint-Arnould O.S.B.",21
"Agde","Mons Sainte-Waudru O.S.A.",28
"Agde","Mont Saint-Michel",38
"Agde","Montier-la-Celle O.S.B.",28
"Agde","Montiéramey O.S.B.",28
"Agde","Montmajour O.S.B.",36
"Agde","Mouzon Notre-Dame O.S.B.",38
"Agde","Nantes",26
"Agde","Narbonne",77
"Agde","Nevers",21
"Agde","Nivelles Sainte-Gertrude",14
"Agde","Noyon",23
"Agde","O.Cael.",19
"Agde","O.Camal.",28
"Agde","O.Carm.",34
"Agde","O.Cart.",23
"Agde","O.Cist.",34
"Agde","O.Hosp.",35
"Agde","O.P.",71
"Agde","O.Praem.",35
"Agde","O.S.B. Vall.",45
"Agde","O.T.",73
"Agde","Orléans",28
"Agde","Oulx",44
"Agde","Paris",13
"Agde","Paris Saint-Germain des Prés O.S.B.",29
"Agde","Paris Saint-Victor O.S.A.",21
"Agde","Paris Sainte-Geneviève O.S.A.",24
"Agde","Passau",16
"Agde","Plasencia",31
"Agde","Poitiers",26
"Agde","Poitiers Saint-Croix O.S.B.",26
"Agde","Poitiers Sainte-Trinité O.S.B. f.",15
"Agde","Regensburg",53
"Agde","Reims",28
"Agde","Reims Saint-Denis O.S.A.",17
"Agde","Rennes [1401 to 1500]",23
"Agde","Rennes [1430]",26
"Agde","Rennes Notre-Dame-en-Saint-Melaine",30
"Agde","Roma",33
"Agde","Romans-sur-Isère Saint-Barnard",32
"Agde","Ronse Sint-Hermes",13
"Agde","Rouen",25
"Agde","Rouen Saint-Ouen O.S.B.",27
"Agde","Saint-Antoine des Champs O.Cist.",32
"Agde","Saint-Brieuc",23
"Agde","Saint-Denis O.S.B.",28
"Agde","Saint-Lô Sainte-Croix O.S.A.",30
"Agde","Saint-Magloire",46
"Agde","Saint-Malo",26
"Agde","Saint-Omer [1201 to 1300]",23
"Agde","Saint-Omer [1518]",21
"Agde","Saint-Omer Saint-Bertin O.S.B.",28
"Agde","Saint-Paul-Trois-Châteaux",55
"Agde","Saint-Pierre de La Couture O.S.B.",21
"Agde","Saint-Pol-de-Léon",14
"Agde","Saint-Quentin",33
"Agde","Saint-Quentin-en-l'Isle O.S.B.",29
"Agde","Saint-Riquier",36
"Agde","Saint-Savin-en-Lavedan O.S.B.",39
"Agde","Saint-Thierry Saint-Thierry O.S.B.",39
"Agde","Saintes",23
"Agde","Sarum",23
"Agde","Saumur Saint-Florent O.S.B.",26
"Agde","Séez",22
"Agde","Senlis",28
"Agde","Senones",19
"Agde","Sens",31
"Agde","Sens Saint-Pierre-le-Vif O.S.B.",31
"Agde","Sevilla",40
"Agde","Siegburg Michaelsberg O.S.B.",23
"Agde","Sion-en-Valais",28
"Agde","Sisteron",68
"Agde","Soissons",32
"Agde","Strasbourg",50
"Agde","Tarbes",27
"Agde","Tarentaise",53
"Agde","Thérouanne [1401 to 1500]",28
"Agde","Thérouanne [1488]",17
"Agde","Tiron Sainte-Trinité O.S.B.",30
"Agde","Toul",37
"Agde","Toulouse",73
"Agde","Tournai",20
"Agde","Tournus",27
"Agde","Tours [1401 to 1600]",29
"Agde","Tours [1501 to 1600]",41
"Agde","Tours Saint-Julien O.S.B.",28
"Agde","Tours Saint-Martin",19
"Agde","Tréguier",23
"Agde","Troarn Saint-Martin O.S.B.",23
"Agde","Troyes [1470 to 1507]",15
"Agde","Troyes [1536]",19
"Agde","Utrecht",66
"Agde","Uzès",83
"Agde","Valence",33
"Agde","Valence Saint-Ruf",43
"Agde","Valencia",73
"Agde","Valladolid",35
"Agde","Vendôme",21
"Agde","Verdun",35
"Agde","Vich",38
"Agde","Vienne",38
"Agde","Villeneuve-lès-Avignon Saint-André O.S.B.",31
"Agde","Villiers-aux-Nonnains Notre-Dame O.S.B.f",35
"Agde","Viviers",40
"Agde","Watten O.S.A.",11
"Agde","Westminster Saint Mary O.S.B.",47
"Agde","Winchester Saint Mary O.S.B.",20
"Agde","Worms",48
"Agde","Würtzburg",50
"Agde","York",22
"Agen","Aix-en-Provence",36
"Agen","Amiens",46
"Agen","Angers",42
"Agen","Aniane O.S.B.",47
"Agen","Antwerpen",50
"Agen","Apt",37
"Agen","Arles",59
"Agen","Arras [1301 to 1400]",48
"Agen","Arras [1401 to 1500]",31
"Agen","Arras [1501 to 1600]",44
"Agen","Arras [1595]",38
"Agen","Arras Saint-Vaast O.S.B.",52
"Agen","Auch",60
"Agen","Autun",56
"Agen","Auxerre",50
"Agen","Avranches",41
"Agen","Baltimore The Walters Art Museum W.0166",47
"Agen","Baltimore The Walters Art Museum W.0169",47
"Agen","Bayeux",38
"Agen","Bazas",56
"Agen","Beaugency",36
"Agen","Beaulieu Notre Dame O.Cist",38
"Agen","Beaune Notre-Dame",56
"Agen","Beauvais",33
"Agen","Besançon",30
"Agen","Béziers",38
"Agen","Bordeaux",55
"Agen","Bourges",49
"Agen","Bourgueil Saint-Pierre O.S.B.",23
"Agen","Bremen",26
"Agen","Brugge",53
"Agen","Brugge Sint-Donaaskerk",39
"Agen","Bruxelles Sainte-Gudule O.S.A.",48
"Agen","Cambrai",36
"Agen","Canterbury Saint-Augustin",26
"Agen","Carcassonne",34
"Agen","Cavaillon",48
"Agen","Chaise-Dieu (La) O.S.B.",51
"Agen","Chalon-sur-Saône",52
"Agen","Châlons-en-Champagne",44
"Agen","Chartres",33
"Agen","Chartres Saint-Père-en-Vallée O.S.B. [1301 to 1500]",25
"Agen","Chartres Saint-Père-en-Vallée O.S.B. [1401 to 1500]",25
"Agen","Chezal-Benoît O.S.B.",49
"Agen","Clermont",24
"Agen","Cluny O.S.B.",56
"Agen","Compiègne Saint-Corneille O.S.B.",35
"Agen","Coutances",35
"Agen","Dax",72
"Agen","Die",45
"Agen","Dijon Saint-Bénigne O.S.B.",14
"Agen","Dijon Saint-Etienne",45
"Agen","Dol",38
"Agen","Douai Saint-Amé",44
"Agen","Durham Saint Cuthbert O.S.B.",17
"Agen","Elne",51
"Agen","Embrun",26
"Agen","Essômes O.S.A.",34
"Agen","Esztergom",31
"Agen","Évreux",33
"Agen","Évreux Saint-Sauveur O.S.B.",11
"Agen","Faremoutiers Notre-Dame O.S.B.",30
"Agen","Fontevrault Notre-Dame O.S.B.",36
"Agen","Fréjus",27
"Agen","Genève",49
"Agen","Gerona",53
"Agen","Grandmont O.S.B.",28
"Agen","Grasse",33
"Agen","Grenoble",58
"Agen","Hasnon",42
"Agen","Hénin-Liétard Notre-Dame O.S.A.",44
"Agen","Hortulus animae",32
"Agen","Josaphat Notre-Dame O.S.B.",34
"Agen","Köln",35
"Agen","Konstanz",38
"Agen","La Croix-Saint-Leufroy O.S.B.",16
"Agen","La Riche Saint-Côme O.S.A.",41
"Agen","Lagrasse Notre-Dame O.S.B.",32
"Agen","Langres",45
"Agen","Laon",54
"Agen","Le Mans",50
"Agen","Le Puy-en-Velay",34
"Agen","Lérida",36
"Agen","Lérins O.S.B.",44
"Agen","Liège [1201 to 1300]",32
"Agen","Liège [1401 to 1500]",28
"Agen","Lille Saint-Pierre",48
"Agen","Limoges",60
"Agen","Limoges Saint-Martial O.S.B.",45
