"from","to","weight"
"Agde","Agen",33.3333333333333
"Agde","Aix-en-Provence",78.2608695652174
"Agde","Amiens",28.2608695652174
"Agde","Angers",28.2608695652174
"Agde","Aniane O.S.B.",39.1304347826087
"Agde","Antwerpen",25.531914893617
"Agde","Apt",73.1707317073171
"Agde","Arles",43.1818181818182
"Agde","Arras [1301 to 1400]",26.8292682926829
"Agde","Arras [1401 to 1500]",11.1111111111111
"Agde","Arras [1501 to 1600]",33.3333333333333
"Agde","Arras [1595]",13.0434782608696
"Agde","Arras Saint-Vaast O.S.B.",28.2608695652174
"Agde","Auch",39.5833333333333
"Agde","Autun",25
"Agde","Auxerre",26.0869565217391
"Agde","Avranches",31.1111111111111
"Agde","Baltimore The Walters Art Museum W.0166",26.0869565217391
"Agde","Baltimore The Walters Art Museum W.0169",26.0869565217391
"Agde","Bayeux",30.4347826086957
"Agde","Bazas",30.4347826086957
"Agde","Beaugency",27.2727272727273
"Agde","Beaulieu Notre Dame O.Cist",33.3333333333333
"Agde","Beaune Notre-Dame",35.4166666666667
"Agde","Beauvais",26.0869565217391
"Agde","Besançon",50
"Agde","Béziers",89.1304347826087
"Agde","Bordeaux",23.4042553191489
"Agde","Bourges",32.6086956521739
"Agde","Bourgueil Saint-Pierre O.S.B.",31.25
"Agde","Bremen",50
"Agde","Brugge",30.4347826086957
"Agde","Brugge Sint-Donaaskerk",15.5555555555556
"Agde","Bruxelles Sainte-Gudule O.S.A.",27.6595744680851
"Agde","Cambrai",23.9130434782609
"Agde","Canterbury Saint-Augustin",28.2608695652174
"Agde","Carcassonne",33.3333333333333
"Agde","Cavaillon",31.7073170731707
"Agde","Chaise-Dieu (La) O.S.B.",31.9148936170213
"Agde","Chalon-sur-Saône",21.7391304347826
"Agde","Châlons-en-Champagne",23.9130434782609
"Agde","Chartres",23.9130434782609
"Agde","Chartres Saint-Père-en-Vallée O.S.B. [1301 to 1500]",38.0952380952381
"Agde","Chartres Saint-Père-en-Vallée O.S.B. [1401 to 1500]",10.5263157894737
"Agde","Chezal-Benoît O.S.B.",32.6086956521739
"Agde","Clermont",50
"Agde","Cluny O.S.B.",32.6086956521739
"Agde","Compiègne Saint-Corneille O.S.B.",46.875
"Agde","Coutances",21.7391304347826
"Agde","Dax",40.4255319148936
"Agde","Die",21.9512195121951
"Agde","Dijon Saint-Bénigne O.S.B.",18.75
"Agde","Dijon Saint-Etienne",32.6086956521739
"Agde","Dol",30.4347826086957
"Agde","Douai Saint-Amé",20.5128205128205
"Agde","Durham Saint Cuthbert O.S.B.",15.3846153846154
"Agde","Elne",48.8888888888889
"Agde","Embrun",65.9090909090909
"Agde","Essômes O.S.A.",21.7391304347826
"Agde","Esztergom",42.1052631578947
"Agde","Évreux",21.7391304347826
"Agde","Évreux Saint-Sauveur O.S.B.",13.3333333333333
"Agde","Faremoutiers Notre-Dame O.S.B.",37.037037037037
"Agde","Fontevrault Notre-Dame O.S.B.",21.7391304347826
"Agde","Fréjus",87.8048780487805
"Agde","Genève",31.1111111111111
"Agde","Gerona",35.4166666666667
"Agde","Grandmont O.S.B.",18.1818181818182
"Agde","Grasse",82.6086956521739
"Agde","Grenoble",42.5531914893617
"Agde","Hasnon",41.1764705882353
"Agde","Hénin-Liétard Notre-Dame O.S.A.",22.2222222222222
"Agde","Hortulus animae",58.5365853658537
"Agde","Josaphat Notre-Dame O.S.B.",31.1111111111111
"Agde","Köln",58.695652173913
"Agde","Konstanz",54.1666666666667
"Agde","La Croix-Saint-Leufroy O.S.B.",27.2727272727273
"Agde","La Riche Saint-Côme O.S.A.",23.9130434782609
"Agde","Lagrasse Notre-Dame O.S.B.",34.0909090909091
"Agde","Langres",28.2608695652174
"Agde","Laon",31.8181818181818
"Agde","Le Mans",28.2608695652174
"Agde","Le Puy-en-Velay",57.7777777777778
"Agde","Lérida",71.7391304347826
"Agde","Lérins O.S.B.",33.3333333333333
"Agde","Liège [1201 to 1300]",29.7872340425532
"Agde","Liège [1401 to 1500]",60.5263157894737
"Agde","Lille Saint-Pierre",26.6666666666667
"Agde","Limoges",34.0425531914894
"Agde","Limoges Saint-Martial O.S.B.",36.3636363636364
"Agde","Lisieux",28.2608695652174
"Agde","Loches",26.0869565217391
"Agde","Lund",60.5263157894737
"Agde","Lyon",23.8095238095238
"Agde","Lyre Notre-Dame O.S.B.",17.3913043478261
"Agde","Mâcon",29.1666666666667
"Agde","Maguelonne",88.8888888888889
"Agde","Mainz",59.5744680851064
"Agde","Marmoutier O.S.B.",26.0869565217391
"Agde","Marseille",48.8372093023256
"Agde","Marseille Saint-Victor O.S.B.",29.4117647058824
"Agde","Meaux",28.2608695652174
"Agde","Mende",82.6086956521739
"Agde","Metz",25.531914893617
"Agde","Metz Saint-Arnould O.S.B.",21.6216216216216
"Agde","Mons Sainte-Waudru O.S.A.",28.2608695652174
"Agde","Mont Saint-Michel",38.8888888888889
"Agde","Montier-la-Celle O.S.B.",28.2608695652174
"Agde","Montiéramey O.S.B.",28.2608695652174
"Agde","Montmajour O.S.B.",36.3636363636364
"Agde","Mouzon Notre-Dame O.S.B.",38.0952380952381
"Agde","Nantes",26.0869565217391
"Agde","Narbonne",77.0833333333333
"Agde","Nevers",21.4285714285714
"Agde","Nivelles Sainte-Gertrude",14.6341463414634
"Agde","Noyon",23.9130434782609
"Agde","O.Cael.",19.5652173913043
"Agde","O.Camal.",28.2608695652174
"Agde","O.Carm.",34.7826086956522
"Agde","O.Cart.",23.9130434782609
"Agde","O.Cist.",34.7826086956522
"Agde","O.Hosp.",35.4166666666667
"Agde","O.P.",71.7391304347826
"Agde","O.Praem.",35.4166666666667
"Agde","O.S.B. Vall.",45.1612903225806
"Agde","O.T.",73.9130434782609
"Agde","Orléans",28.2608695652174
"Agde","Oulx",44.6808510638298
"Agde","Paris",13.0434782608696
"Agde","Paris Saint-Germain des Prés O.S.B.",29.5454545454545
"Agde","Paris Saint-Victor O.S.A.",21.7391304347826
"Agde","Paris Sainte-Geneviève O.S.A.",24.4444444444444
"Agde","Passau",16
"Agde","Plasencia",31.1111111111111
"Agde","Poitiers",26.0869565217391
"Agde","Poitiers Saint-Croix O.S.B.",26.0869565217391
"Agde","Poitiers Sainte-Trinité O.S.B. f.",15.7894736842105
"Agde","Regensburg",53.1914893617021
"Agde","Reims",28.2608695652174
"Agde","Reims Saint-Denis O.S.A.",17.3913043478261
"Agde","Rennes [1401 to 1500]",23.9130434782609
"Agde","Rennes [1430]",26.0869565217391
"Agde","Rennes Notre-Dame-en-Saint-Melaine",30.4347826086957
"Agde","Roma",33.3333333333333
"Agde","Romans-sur-Isère Saint-Barnard",32.6086956521739
"Agde","Ronse Sint-Hermes",13.5135135135135
"Agde","Rouen",25
"Agde","Rouen Saint-Ouen O.S.B.",27.2727272727273
"Agde","Saint-Antoine des Champs O.Cist.",32.6086956521739
"Agde","Saint-Brieuc",23.9130434782609
"Agde","Saint-Denis O.S.B.",28.8888888888889
"Agde","Saint-Lô Sainte-Croix O.S.A.",30.952380952381
"Agde","Saint-Magloire",46.875
"Agde","Saint-Malo",26.0869565217391
"Agde","Saint-Omer [1201 to 1300]",23.0769230769231
"Agde","Saint-Omer [1518]",21.7391304347826
"Agde","Saint-Omer Saint-Bertin O.S.B.",28.2608695652174
"Agde","Saint-Paul-Trois-Châteaux",55.8823529411765
"Agde","Saint-Pierre de La Couture O.S.B.",21.7391304347826
"Agde","Saint-Pol-de-Léon",14.5833333333333
"Agde","Saint-Quentin",33.3333333333333
"Agde","Saint-Quentin-en-l'Isle O.S.B.",29.5454545454545
"Agde","Saint-Riquier",36.9565217391304
"Agde","Saint-Savin-en-Lavedan O.S.B.",39.1304347826087
"Agde","Saint-Thierry Saint-Thierry O.S.B.",39.3939393939394
"Agde","Saintes",23.9130434782609
"Agde","Sarum",23.9130434782609
"Agde","Saumur Saint-Florent O.S.B.",26.0869565217391
"Agde","Séez",22.2222222222222
"Agde","Senlis",28.2608695652174
"Agde","Senones",19.1489361702128
"Agde","Sens",31.7073170731707
"Agde","Sens Saint-Pierre-le-Vif O.S.B.",31.1111111111111
"Agde","Sevilla",40.9090909090909
"Agde","Siegburg Michaelsberg O.S.B.",23.0769230769231
"Agde","Sion-en-Valais",28.2051282051282
"Agde","Sisteron",68.75
"Agde","Soissons",32.6086956521739
"Agde","Strasbourg",50
"Agde","Tarbes",27.0833333333333
"Agde","Tarentaise",53.3333333333333
