"from","to","weight"
"Agde","Aix-en-Provence",78
"Agde","Apt",73
"Agde","Béziers",89
"Agde","Fréjus",87
"Agde","Grasse",82
"Agde","Lérida",71
"Agde","Maguelonne",88
"Agde","Mende",82
"Agde","Narbonne",77
"Agde","O.P.",71
"Agde","O.T.",73
"Agde","Toulouse",73
"Agde","Uzès",83
"Agde","Valencia",73
"Agen","Dax",72
"Aix-en-Provence","Apt",75
"Aix-en-Provence","Béziers",87
"Aix-en-Provence","Fréjus",88
"Aix-en-Provence","Grasse",90
"Aix-en-Provence","Lérida",77
"Aix-en-Provence","Maguelonne",92
"Aix-en-Provence","Mende",85
"Aix-en-Provence","Narbonne",82
"Aix-en-Provence","O.P.",77
"Aix-en-Provence","O.T.",77
"Aix-en-Provence","Sisteron",80
"Aix-en-Provence","Toulouse",80
"Aix-en-Provence","Uzès",83
"Aix-en-Provence","Valencia",78
"Amiens","Arras [1301 to 1400]",74
"Amiens","Autun",73
"Amiens","Auxerre",75
"Amiens","Baltimore The Walters Art Museum W.0166",77
"Amiens","Baltimore The Walters Art Museum W.0169",78
"Amiens","Bazas",75
"Amiens","Bourges",73
"Amiens","Bruxelles Sainte-Gudule O.S.A.",77
"Amiens","Châlons-en-Champagne",77
"Amiens","Douai Saint-Amé",73
"Amiens","Évreux",72
"Amiens","Hénin-Liétard Notre-Dame O.S.A.",81
"Amiens","Laon",75
"Amiens","Lille Saint-Pierre",71
"Amiens","Lisieux",72
"Amiens","Mons Sainte-Waudru O.S.A.",87
"Amiens","Noyon",79
"Amiens","O.Hosp.",71
"Amiens","Poitiers",74
"Amiens","Rennes [1401 to 1500]",72
"Amiens","Saint-Omer [1201 to 1300]",85
"Amiens","Saint-Omer [1518]",79
"Amiens","Saint-Pierre de La Couture O.S.B.",72
"Amiens","Saint-Quentin",81
"Amiens","Senlis",77
"Amiens","Soissons",76
"Amiens","Thérouanne [1401 to 1500]",92
"Amiens","Thérouanne [1488]",73
"Amiens","Tours [1501 to 1600]",87
"Amiens","Verdun",73
"Angers","Bourges",76
"Angers","Châlons-en-Champagne",72
"Angers","Dol",73
"Angers","Le Mans",78
"Angers","Nantes",72
"Angers","Nevers",74
"Angers","Orléans",79
"Angers","Reims",76
"Angers","Rennes [1401 to 1500]",80
"Angers","Rennes [1430]",73
"Angers","Saint-Brieuc",75
"Angers","Saint-Malo",78
"Angers","Saint-Pierre de La Couture O.S.B.",79
"Angers","Sarum",73
"Angers","Soissons",73
"Angers","Tours Saint-Julien O.S.B.",75
"Angers","Tréguier",81
"Antwerpen","Bruxelles Sainte-Gudule O.S.A.",81
"Antwerpen","Hénin-Liétard Notre-Dame O.S.A.",75
"Antwerpen","Mons Sainte-Waudru O.S.A.",73
"Antwerpen","Noyon",78
"Antwerpen","O.Praem.",76
"Antwerpen","Saint-Omer [1201 to 1300]",72
"Antwerpen","Thérouanne [1401 to 1500]",73
"Antwerpen","Thérouanne [1488]",72
"Antwerpen","Tours [1501 to 1600]",76
"Apt","Béziers",79
"Apt","Embrun",73
"Apt","Fréjus",81
"Apt","Grasse",79
"Apt","Lérida",73
"Apt","Maguelonne",82
"Apt","O.P.",78
"Apt","O.T.",76
"Apt","Sisteron",79
"Apt","Toulouse",77
"Apt","Uzès",78
"Apt","Valencia",80
"Arles","Auch",83
"Arles","Cavaillon",83
"Arles","Dax",71
"Arles","Elne",73
"Arles","Marseille",86
"Arles","Saint-Paul-Trois-Châteaux",81
"Arles","Valence Saint-Ruf",78
"Arras [1301 to 1400]","Arras [1401 to 1500]",90
"Arras [1301 to 1400]","Arras [1501 to 1600]",97
"Arras [1301 to 1400]","Arras [1595]",77
"Arras [1301 to 1400]","Auxerre",72
"Arras [1301 to 1400]","Baltimore The Walters Art Museum W.0166",77
"Arras [1301 to 1400]","Baltimore The Walters Art Museum W.0169",79
"Arras [1301 to 1400]","Douai Saint-Amé",90
"Arras [1301 to 1400]","Hénin-Liétard Notre-Dame O.S.A.",74
"Arras [1301 to 1400]","Lille Saint-Pierre",71
"Arras [1301 to 1400]","Mons Sainte-Waudru O.S.A.",78
"Arras [1301 to 1400]","Noyon",73
"Arras [1301 to 1400]","Saint-Omer [1201 to 1300]",74
"Arras [1301 to 1400]","Saint-Omer [1518]",72
"Arras [1301 to 1400]","Saint-Quentin",71
"Arras [1301 to 1400]","Soissons",72
"Arras [1301 to 1400]","Thérouanne [1401 to 1500]",84
"Arras [1301 to 1400]","Thérouanne [1488]",73
"Arras [1301 to 1400]","Tours [1501 to 1600]",82
"Arras [1401 to 1500]","Arras [1501 to 1600]",83
"Arras [1401 to 1500]","Arras [1595]",74
"Arras [1401 to 1500]","Douai Saint-Amé",81
"Arras [1501 to 1600]","Arras [1595]",72
"Arras [1501 to 1600]","Douai Saint-Amé",84
"Arras [1501 to 1600]","Hénin-Liétard Notre-Dame O.S.A.",74
"Arras [1501 to 1600]","Mons Sainte-Waudru O.S.A.",71
