"from","to"
"14","D_Poitiers"
"52","V_Paris"
"52","D_Paris"
"56","V_Paris"
"56","D_Paris"
"59","V_Roma"
"63","V_Besançon"
"63","D_Besançon"
"67","V_Besançon"
"68","V_Roma"
"68","D_Sarum"
"69","V_Rouen"
"69","D_Rouen"
"80","V_Paris"
"80","D_Paris"
"85","D_Lagny-sur-Marne, Saint-Pierre O.S.B."
"91","V_Roma"
"91","D_Roma"
"93","V_Roma"
"93","D_Roma"
"101","V_Roma"
"101","D_O.P."
"102","V_Paris"
"102","D_Paris"
"103","V_Paris"
"103","D_Paris"
"111","V_Sarum"
"115","V_Roma"
"115","D_Roma"
"116","V_Roma"
"116","D_Roma"
"118","V_Reims"
"118","D_Reims"
"131","V_Reims"
"132","V_Sarum"
"138","V_York"
"155","V_Amiens"
"156","V_Roma"
"156","D_Roma"
"185","V_Paris"
"185","D_Paris"
"186","V_Amiens"
"186","D_Amiens"
"188","V_Roma"
"188","D_Roma"
"190","V_Windesheim|Utrecht (Organisation)"
"192","V_Cambrai"
"196","V_Roma"
"196","D_Roma"
"200","V_Bruxelles, Sainte-Gudule O.S.A."
"201","V_Amiens"
"201","D_Amiens"
"203","V_Angers"
"203","D_Angers"
"205","V_Paris"
"205","D_Paris"
"209","V_Roma"
"213","V_Metz"
"215","V_Bruxelles, Sainte-Gudule O.S.A."
"216","V_Arras"
"217","V_Soignies, Saint-Vincent O.S.A."
"219","V_Liège"
"224","V_Tournai"
"227","V_Douai, Saint-Amé"
"230","V_Poitiers"
"231","V_Roma"
"231","D_Roma"
"236","V_Saint-Ghislain O.S.B."
"242","V_Paris"
"242","D_Paris"
"243","V_Saint-Omer"
"244","V_Liège"
"246","V_Köln"
"252","D_Liège"
"261","D_Mont-Saint-Eloi O.S.A."
"267","V_Cambrai"
"268","V_Nivelles, Sainte-Gertrude"
"270","V_Chalon-sur-Saône"
"273","V_Roma"
"275","V_Cambrai"
"275","D_Cambrai"
"291","V_Roma"
"299","V_Roma"
"299","D_Roma"
"309","V_Sarum"
"309","D_Sarum"
"314","V_Amiens"
"317","V_Roma"
"317","D_Roma"
"322","V_Lille, Saint-Pierre"
"322","D_Troyes"
"327","V_Cambrai"
"331","V_Roma"
"331","D_Roma"
"334","V_Roma"
"334","D_Roma"
"337","V_Roma"
"337","D_Roma"
"339","V_Roma"
"343","V_Roma"
"343","D_Roma"
"345","V_Nivelles, Sainte-Gertrude"
"345","D_Nivelles, Sainte-Gertrude"
"346","V_Roma"
"346","D_Roma"
"347","V_Tournai"
"353","V_Roma"
"368","V_Roma"
"368","D_Roma"
"369","V_Roma"
"370","V_Roma"
"370","D_Roma"
"373","V_Utrecht"
"374","V_Liège, Saint-Laurent O.S.B."
"375","V_Utrecht"
"379","V_Rouen"
"380","D_Roma"
"381","V_Autun"
"386","V_Tours"
"389","V_O.Carm."
"394","V_Sarum"
"406","V_Roma"
"406","D_Roma"
"415","V_Roma"
"443","V_Roma"
"443","D_Paris"
"449","V_Cambrai"
"449","D_Cambrai"
"450","V_Paris"
"451","V_Paris"
"451","D_Paris"
"452","V_Roma"
"453","V_Laon"
"454","V_Sarum"
"454","D_Sarum"
"455","V_Roma"
"455","D_Roma"
"456","V_Roma"
"456","D_Roma"
"457","V_Paris"
"457","D_Paris"
"459","V_Saint-Pierre-au-Bois O.S.B."
"461","V_Paris"
"461","D_Paris"
"462","V_Roma"
"463","D_Roma"
"464","V_Paris"
"464","D_Paris"
"478","V_Autun"
"492","V_Roma"
"492","D_Roma"
"493","V_Châlons-en-Champagne"
"493","D_Châlons-en-Champagne"
"494","V_Paris"
"495","V_Paris"
"504","V_Roma"
"521","V_Paris"
"522","V_Paris"
"522","D_Paris"
"523","V_Roma"
"523","D_Roma"
"524","V_Paris"
"525","V_Tours, Saint-Martin"
"526","V_Roma"
"527","V_Metz"
"528","V_O.P."
"529","V_Besançon"
"530","V_Roma"
"531","V_Rouen"
"532","V_Lisieux"
"533","V_O.P."
"534","V_Roma"
"541","V_Conques O.S.B."
"547","V_Besançon"
"610","V_Besançon"
"611","V_Le Mans"
"611","D_Le Mans"
"616","V_Roma"
"616","D_Tournai"
"627","V_Roma"
"632","D_O.Praem."
"633","V_Rennes"
"634","V_Sarum"
"643","V_Roma"
"643","D_Roma"
"662","D_Oxford, Saint Frideswide O.S.A."
"688","V_Paris"
"688","D_Paris"
"690","V_Tournai"
"710","V_Cambrai"
"710","D_Cambrai"
"711","V_Köln, Sankt Gertrud O.P."
"712","V_Metz"
"713","V_Trier"
"715","V_Amsterdam O.S.A."
"717","V_Utrecht"
"718","V_O.T."
"719","V_Köln, Sankt Cäcilien O.S.A."
"720","V_Köln, Sankt Maximin"
"723","V_Hildesheim"
"724","V_Liège O.S.A."
"725","V_Mons, Sainte-Waudru O.S.A."
"726","V_Köln, Sankt Maximin"
"734","V_Roma"
"734","D_Roma"
"741","D_Paris"
"742","V_Reims"
"742","D_Reims"
"743","V_Paris"
"743","D_Paris"
"753","D_Roma"
"754","D_Évreux"
"755","D_Orléans"
"756","D_Paris"
"758","D_Paris"
"763","D_Cambrai"
"768","D_Zürich, Grossmünster O.S.A."
"769","D_O.P."
"770","D_O.P."
"771","D_O.Cist."
"772","D_Utrecht"
"773","D_Roma"
"775","D_Utrecht"
"777","D_Paris"
"779","D_Roma"
"780","D_Roma"
"783","V_Châlons-en-Champagne"
"783","D_Châlons-en-Champagne"
"811","V_Metz"
"831","V_Paris"
"831","D_Paris"
"832","V_Dol"
"832","D_Nantes"
"833","V_Le Mans"
"833","D_Le Mans"
"835","V_Roma"
"835","D_Roma"
"836","V_Paris"
"836","D_Paris"
"837","V_Roma"
"837","D_Roma"
"838","V_Roma"
"839","V_Roma"
"839","D_Roma"
"840","V_Paris"
"840","D_Paris"
"841","V_Roma"
"841","D_Roma"
"842","V_Roma"
"843","V_Roma"
"843","D_Roma"
"844","V_Sarum"
"844","D_Sarum"
"850","V_Paris"
"850","D_Paris"
"859","V_Châlons-en-Champagne"
"859","D_Châlons-en-Champagne"
"874","V_Roma"
"874","D_Roma"
"882","V_Roma"
"882","D_Roma"
"893","V_O.P."
"915","V_Poitiers"
"926","V_Paris"
"926","D_Paris"
"927","V_Roma"
