msItem H-ID,rec_Title,Parent entity (Manuscript) H-ID,Parent entity RecordTitle,Parent entity (Printed text) H-ID,Parent entity RecordTitle,Work H-ID,Work RecordTitle,use (Organisation) H-ID,use RecordTitle
101774,"MsItem of J. Paul Getty Museum, 7 + Den Haag, Koninklijke Bibliotheek, ms. 74G37 + ms. 74G37a : Hours of the Virgin",,,,,75966,Hours of the Virgin | L1 | Section,10189,Paris (Organisation)
200954,"MsItem of J. Paul Getty Museum, 7 + Den Haag, Koninklijke Bibliotheek, ms. 74G37 + ms. 74G37a : Office of the dead",,,,,75965,Office of the dead | L1 | Section,10189,Paris (Organisation)
300715,"MsItem of J. Paul Getty Museum, 7 + Den Haag, Koninklijke Bibliotheek, ms. 74G37 + ms. 74G37a : Calendar",,,,,75963,Calendar | L1 | Section,10189,Paris (Organisation)
200001,"MsItem of Universitätsbibliothek, 281 : Office of the dead | L1 | Section",14,"Innsbruck, Universitätsbibliothek, 281",,,75965,Office of the dead | L1 | Section,10202,Poitiers (Organisation)
100013,"MsItem of Österreichische Nationalbibliothek, Cod. 01840 : Hours of the Virgin | L1 | Section",52,"Wien, Österreichische Nationalbibliothek, Cod. 01840",,,75966,Hours of the Virgin | L1 | Section,10189,Paris (Organisation)
200002,"MsItem of Österreichische Nationalbibliothek, Cod. 01840 : Office of the dead | L1 | Section",52,"Wien, Österreichische Nationalbibliothek, Cod. 01840",,,75965,Office of the dead | L1 | Section,10189,Paris (Organisation)
300001,"MsItem of Österreichische Nationalbibliothek, Cod. 01840 : Calendar | L1 | Section",52,"Wien, Österreichische Nationalbibliothek, Cod. 01840",,,75963,Calendar | L1 | Section,10189,Paris (Organisation)
100014,"MsItem of Österreichische Nationalbibliothek, Cod. 01855 : Hours of the Virgin | L1 | Section",56,"Wien, Österreichische Nationalbibliothek, Cod. 01855 
 
 = Medium: 100040622",,,75966,Hours of the Virgin | L1 | Section,10189,Paris (Organisation)
200003,"MsItem of Österreichische Nationalbibliothek, Cod. 01855 : Office of the dead | L1 | Section",56,"Wien, Österreichische Nationalbibliothek, Cod. 01855 
 
 = Medium: 100040622",,,75965,Office of the dead | L1 | Section,10189,Paris (Organisation)
300002,"MsItem of Österreichische Nationalbibliothek, Cod. 01855 : Calendar | L1 | Section",56,"Wien, Österreichische Nationalbibliothek, Cod. 01855 
 
 = Medium: 100040622",,,75963,Calendar | L1 | Section,10189,Paris (Organisation)
100015,"MsItem of Österreichische Nationalbibliothek, Cod. 01858 : Hours of the Virgin",59,"Wien, Österreichische Nationalbibliothek, Cod. 01858",,,75966,Hours of the Virgin | L1 | Section,10215,Roma (Organisation)
200004,"MsItem of Österreichische Nationalbibliothek, Cod. 01858 : Office of the dead",59,"Wien, Österreichische Nationalbibliothek, Cod. 01858",,,75965,Office of the dead | L1 | Section,10250,Unknown (Organisation)
300003,"MsItem of Österreichische Nationalbibliothek, Cod. 01858 : Calendar",59,"Wien, Österreichische Nationalbibliothek, Cod. 01858",,,75963,Calendar | L1 | Section,10150,"Nederland, Sud (Organisation)"
100016,"MsItem of Österreichische Nationalbibliothek, Cod. 01881 : Hours of the Virgin",63,"Wien, Österreichische Nationalbibliothek, Cod. 01881",,,75966,Hours of the Virgin | L1 | Section,10027,Besançon (Organisation)
