Location,Time,Index,Music,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Extra
,,MAZ384,x,0,0,0,0,0,0,0,0,0,0,38,0,
Paris,1400-1500,BN10529,,0,0,0,0,0,0,0,0,0,0,38,0,
,1000-1100,VALL81,x,0,0,0,0,0,0,0,0,0,0,38,0,x
Senlis,1521,BN6333,,0,0,0,0,0,0,0,0,0,40,38,0,
Lucon,1400-1500,S.LON(9),,0,0,0,0,0,0,0,0,0,51,40,0,
Soissons,1100-1200,BN2354D,,0,0,0,0,0,0,0,0,24,46,38,0,
St. Jean-de-Maurienne,1100-1200,BN1090,x,0,0,0,0,0,0,0,0,40,79,38,1,
St. Savin-en-Lavedan,1300-1400,TOUL70,,0,0,0,0,0,0,0,0,68,28,46,0,
Montecassino,1000-1100,MAZ364,,0,0,0,0,0,0,0,0,71,79,38,0,
Besancon,1300-1400,CHAL24,,0,0,0,0,0,0,0,0,79,83,38,0,
Bamberg,1200-1300,BAMB25A,x,0,0,0,0,0,0,1,0,58,76,18,0,
Montieramey,1100-1200,TROY721A,,0,0,0,0,0,0,10,0,18,83,58,0,x
Nantes,1527,PAR1527,,0,0,0,0,0,0,37,0,46,38,0,0,
Gap,1280-1300,EBAMS5,,0,0,0,0,0,0,79,0,83,40,38,0,
Premonstratensian,1300-1400,FALKNER4,,0,0,0,0,0,32,40,0,68,18,0,0,
,980-1020,OXF572,x,0,0,0,0,0,49,83,0,58,1,38,0,
Toul,1400-1500,FALKNER3,,0,0,0,0,0,57,0,0,0,0,38,0,
Sarum,1200-1300,BL2856,,0,0,0,0,0,57,28,0,68,82,38,0,
,1200-1220,MTMARIO,,0,0,0,0,0,57,68,0,28,40,38,0,
Rennes,1450-1550,BN23686,,0,0,0,0,32,57,28,0,0,0,0,0,
Sarum,1498-1502,BN27714,,0,0,0,0,32,57,28,0,68,0,0,0,
Münster,1300-1400,GRGT(1)A,,0,0,0,0,47,1,18,0,58,10,38,0,
Clermont-Ferrand,1400-1500,S.LON(14),,0,0,0,0,57,24,68,0,28,46,0,0,
Paris,1200-1300,BN15613,,0,0,0,0,57,24,68,0,28,46,40,38,
Meaux,1617,ARS2977,,0,0,32,0,57,24,68,0,0,0,38,0,
Linköping,1200-1250,CPHRA,,0,0,44,0,10,47,58,0,1,79,0,0,
Cambrai,1200-1300,CAMBR28,x,0,0,72,0,24,68,40,0,89,46,38,0,
St. Denis,1100-1200,BN17296,x,0,44,76,0,10,58,38,0,83,18,12,0,
Besancon,1504,BN27948,,0,72,0,0,0,0,0,0,0,0,38,0,
Roman,1470-1500,SOL17,,0,72,24,0,0,0,0,0,68,28,40,0,
Premonstratensian,1505-1510,DURH161,,0,72,24,0,32,57,40,0,0,0,0,0,
Le Puy,1400-1500,ARS278,,0,72,24,0,32,57,68,0,36,46,79,38,
St. Ghislain,1410-1430,BRU10769,,0,72,24,0,57,32,40,0,68,18,38,0,
Winchester,1000-1100,CAM163,x,0,72,29,0,13,93,83,0,58,25,38,0,
,1400-1500,BN4173,,0,72,32,0,0,0,0,0,0,0,0,0,
Soissons,1200-1300,BN16306K,,0,72,32,0,57,24,68,0,28,46,0,0,
Angers,1492,BN23668,,0,72,32,0,68,57,82,0,0,0,0,0,
Troyes,1450-1500,TROY1149,,0,72,82,0,1,28,93,0,53,68,38,0,
Ambrosian,1487,BN1708,,2,6,0,0,36,67,0,0,42,62,0,0,x
Ambrosian,1470,MCR55,,2,6,0,0,36,67,0,0,75,84,0,0,x
Ambrosian,1000-1100,MIL96,,2,6,0,0,36,75,0,0,63,85,0,0,
Ambrosian,1000-1100,MIL2102,,2,6,0,0,75,84,0,0,63,66,0,0,
Ambrosian,875-900,BN2984,,2,6,36,0,75,84,67,0,63,66,81,0,
,1000-1050,VAT134,,14,0,0,0,32,24,57,0,68,0,72,90,
,1400-1500,TREV475,,14,0,0,0,32,57,28,0,68,82,38,0,
Roman,1480-1500,LISB165,,14,0,0,0,46,32,57,0,68,28,38,0,
,1200-1300,VAT28,,14,24,0,0,32,68,57,0,0,0,0,0,
Seiler-Spital Berne,1477,BERNEA90,,14,24,46,0,1,18,83,0,32,68,38,0,
,1300-1320,ARS288,,14,25,13,0,32,93,58,0,72,68,38,0,
Renaix,1400-1500,BL1211,,14,25,13,0,93,58,1,0,83,82,38,0,
Cambrai,1130-1180,CAMBR193,x,14,32,72,0,24,68,40,0,89,46,38,0,
St. Gery,1180-1220,CAMBR235,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1200-1220,CAMBR46,x,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1200-1250,CAMBR37,x,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1200-1250,CAMBR93,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1200-1300,CAMBR35,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1230-1270,CAMBR1233,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1250-1350,ARS604,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1270-1300,CAMBR33,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1300-1320,CAMBR29,x,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1300-1400,CAMBR106,x,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1350-1450,CAMBR135,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1350-1450,METZ582,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1400-1402,CAMBR97,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1400-1500,CAMBR55,x,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1400-1500,CAMBR118,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1400-1500,CAMBR1343,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1400-1500,FRFT107,,14,32,72,0,24,68,40,0,89,46,38,0,
St. Gery,1400-1500,CAMBR105,x,14,32,72,0,24,68,40,0,89,46,38,0,
St. Gery,1400-1500,CAMBR203,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1480-1500,BRU2348,,14,32,72,0,24,68,40,0,89,46,38,0,
Cambrai,1485,BN27727,,14,32,72,0,24,68,40,0,89,46,38,0,
