"Source","Target","Weight"
"Cambrai_CAMBR193","St. Gery_CAMBR235","9"
"Lyons_LYO70","Die_AVIGN127","9"
"Evora_PORT843","Santa Cruz de Coimbra_PORT1159","9"
"Evora_PORT843","St. James of Compostela_MADR382","9"
"Evora_PORT843","Braga_ESC10","9"
"Evora_PORT843","St. Rufus_LYO44","9"
"Evora_PORT843","Tortosa_MADR14604","9"
"Evora_PORT843","Grasse_CARP42","9"
"Santa Cruz de Coimbra_PORT1159","St. James of Compostela_MADR382","9"
"Santa Cruz de Coimbra_PORT1159","Braga_ESC10","9"
"Santa Cruz de Coimbra_PORT1159","St. Rufus_LYO44","9"
"Santa Cruz de Coimbra_PORT1159","Tortosa_MADR14604","9"
"Santa Cruz de Coimbra_PORT1159","Grasse_CARP42","9"
"St. James of Compostela_MADR382","Braga_ESC10","9"
"St. James of Compostela_MADR382","St. Rufus_LYO44","9"
"St. James of Compostela_MADR382","Tortosa_MADR14604","9"
"St. James of Compostela_MADR382","Grasse_CARP42","9"
"Braga_ESC10","St. Rufus_LYO44","9"
"Braga_ESC10","Tortosa_MADR14604","9"
"Braga_ESC10","Grasse_CARP42","9"
"St. Rufus_LYO44","Tortosa_MADR14604","9"
"St. Rufus_LYO44","Grasse_CARP42","9"
"Tortosa_MADR14604","Grasse_CARP42","9"
"Chaise-Dieu_VES14","Chaise-Dieu_CL-FD5009","9"
"Carpentras_VAT53","Arles_BN1091","7"
"Lerins_BN10486","Northern Italy_VAT173","7"
"Lerins_BN10486","Piacenza_PIAC54B","7"
"Lerins_BN10486","St. Peter's Ravenna_OXF321","7"
"Lerins_BN10486","_TOL20","7"
"Lerins_BN10486","St. Aubin_BNSN(1)","7"
"Lerins_BN10486","Vendome_BN27910","7"
"Lerins_BN10486","St. Maximin Trier_TREV404","7"
"Lerins_BN10486","_BN4758","7"
"St. Severus Erfurt_BN4954B","Dominican_CLG20","7"
"St. Severus Erfurt_BN4954B","Ste Croix Paris_MAZ372","7"
"St. Severus Erfurt_BN4954B","Teutonic Order_FULD122B","7"
"St. Severus Erfurt_BN4954B","_STKH102","7"
"St. Severus Erfurt_BN4954B","Uppsala_STKHTL","7"
"St. Severus Erfurt_BN4954B","Skara_UPS97","7"
"St. Severus Erfurt_BN4954B","Västeras_GEN1292","7"
"St. Severus Erfurt_BN4954B","Abo_STKHSN1","7"
"St. Severus Erfurt_BN4954B","Mercedarians_MADR14265","7"
"St. Severus Erfurt_BN4954B","Dominican_CPHN632","7"
"St. Severus Erfurt_BN4954B","Angouleme_BL7","7"
"St. Severus Erfurt_BN4954B","Saintes_BN1307","7"
"St. Severus Erfurt_BN4954B","Angouleme_MAZ11872","7"
"St. Severus Erfurt_BN4954B","Nantes_GEN1251","7"
"St. Severus Erfurt_BN4954B","Tiron_BL8","7"
"St. Severus Erfurt_BN4954B","Tuy_PORT51","7"
"St. Severus Erfurt_BN4954B","Angers (?)_ANGERS130","7"
"St. Severus Erfurt_BN4954B","Dominican_COLM384","7"
"St. Severus Erfurt_BN4954B","_AVIGN121","7"
"St. Severus Erfurt_BN4954B","Toledo_TOL7","7"
"St. Severus Erfurt_BN4954B","_MADR8694","7"
"St. Severus Erfurt_BN4954B","Burgos_BN261","7"
"St. Severus Erfurt_BN4954B","Seville_BN13234","7"
"St. Severus Erfurt_BN4954B","Zamora_MADR25990","7"
"St. Severus Erfurt_BN4954B","Plasencia_BN1589","7"
"St. Severus Erfurt_BN4954B","Jaen_GEN84","7"
"St. Severus Erfurt_BN4954B","Salamanca_MADR2658","7"
"St. Severus Erfurt_BN4954B","Oviedo_MADRBAH2","7"
"St. Severus Erfurt_BN4954B","Cuenca_CUENCA60","7"
"St. Severus Erfurt_BN4954B","Dominican Vienna_VIE1894","7"
"St. Mary`s York_CAM27","Bayeux_BAYEUX74D","8"
"St. Mary`s York_CAM27","Jerusalem_BL1139","7"
"St. Mary`s York_CAM27","Hospitallers_MAZ355","7"
"St. Mary`s York_CAM27","Marguerite's Hours_BL36684","7"
"St. Mary`s York_CAM27","Brigittine_UPS489","7"
"St. Mary`s York_CAM27","Blaubeuren_STUTT118","7"
"St. Mary`s York_CAM27","Bayeux_GEN2712","7"
"St. Mary`s York_CAM27","Zwiefalten_STUTT117","7"
"St. Mary`s York_CAM27","Remiremont_BN1508","7"
"St. Mary`s York_CAM27","Hospitallers_STRASN1","7"
"St. Mary`s York_CAM27","Zwiefalten_STUTT116","7"
"St. Mary`s York_CAM27","Blaubeuren_STUTT222","7"
"St. Mary`s York_CAM27","Chester_BL431","7"
"St. Mary`s York_CAM27","Bodmin_OXF22","7"
"St. Mary`s York_CAM27","St. Brieuc_MALO1600","7"
"St. Mary`s York_CAM27","Burgos_BURG37","7"
"St. Mary`s York_CAM27","Maubeuge_VAT10288","7"
"St. Mary`s York_CAM27","Maubeuge_CAMBR133","7"
"Lerida_BN1309(A)","St. Denis Rheims_BN915","7"
"Lerida_BN1309(A)","Rheims_BN18021","7"
"Lerida_BN1309(A)","La Couture_GEN1372","7"
"Lerida_BN1309(A)","Notre-Dame-des-Pres-les-Troyes_B1234","7"
"Lerida_BN1309(A)","Braga_BRAGASEM","7"
"Salerno_SALERNO","Limoges_VAT184","7"
"Salerno_SALERNO","Todi_VAT530","7"
"Salerno_SALERNO","St. Martial_MAZ11873","7"
"Rennes_GEN2679","Metz_METZ336","7"
"Rennes_GEN2679","Sarum_S.1953-1","7"
"Rennes_GEN2679","Jerusalem_BL1139","7"
"Rennes_GEN2679","Hospitallers_MAZ355","7"
"Rennes_GEN2679","Marguerite's Hours_BL36684","7"
"Rennes_GEN2679","Brigittine_UPS489","7"
"Rennes_GEN2679","Blaubeuren_STUTT118","7"
"Rennes_GEN2679","Bayeux_GEN2712","7"
"Rennes_GEN2679","Zwiefalten_STUTT117","7"
"Rennes_GEN2679","Remiremont_BN1508","7"
"Rennes_GEN2679","Hospitallers_STRASN1","7"
"Rennes_GEN2679","Zwiefalten_STUTT116","7"
"Rennes_GEN2679","Blaubeuren_STUTT222","7"
"Rennes_GEN2679","Dominican_CLG20","7"
"Rennes_GEN2679","Ste Croix Paris_MAZ372","7"
"Rennes_GEN2679","Teutonic Order_FULD122B","7"
"Rennes_GEN2679","_STKH102","7"
"Rennes_GEN2679","Uppsala_STKHTL","7"
"Rennes_GEN2679","Skara_UPS97","7"
"Rennes_GEN2679","Västeras_GEN1292","7"
"Rennes_GEN2679","Abo_STKHSN1","7"
"Rennes_GEN2679","Mercedarians_MADR14265","7"
"Rennes_GEN2679","Dominican_CPHN632","7"
"Rennes_GEN2679","Nidaros_CPHN133","8"
"Rennes_GEN2679","Carmelite_BLU-C","8"
"Rennes_GEN2679","Hereford_HEREFDSN","8"
"Rennes_GEN2679","Lincoln_BL38116","8"
"Rennes_GEN2679","Metz_ARS570","8"
"Rennes_GEN2679","Sarum_BL305","8"
"Rennes_GEN2679","Templars_BN10478D","8"
"Rennes_GEN2679","Reenes_S.1893","8"
"Rennes_GEN2679","Oxford_VAT4757","8"
"Rennes_GEN2679","Rennes_ARS616","8"
"Rennes_GEN2679","Rouen_BN4600","8"
"Rennes_GEN2679","_HAAG68","8"
"Rennes_GEN2679","St. Arnulf_METZ333","8"
"Rennes_GEN2679","Lisieux_CAEN17","8"
"Rennes_GEN2679","Coutances_S.1953-2","8"
"Rennes_GEN2679","The Hague_HAAG73B","8"
"Rennes_GEN2679","Hospitallers_BN1400","8"
"Rennes_GEN2679","Hours of Marie de Bohun_CPHT547","8"
"Rennes_GEN2679","Montieramey_BN1063","8"
"Rennes_GEN2679","Seez_BN1272","8"
"Rennes_GEN2679","St. Lo-de-Rouen_GEN1265","8"
"Rennes_GEN2679","St. Jacut-de-la-Mer_BN3081","8"
"Rennes_GEN2679","St. Sauveur Toul_BN17998","8"
"Rennes_GEN2679","St. Lo-de-Coutances_GEN2722","8"
"Rennes_GEN2679","Dol_OXF26","8"
"Rennes_GEN2679","Aversa_VAT12","8"
"Rennes_GEN2679","Vannes_GEN225","8"
"Rennes_GEN2679","Crowland_BL230","8"
"Rennes_GEN2679","Sarum_EDINB13","8"
"Rennes_GEN2679","Countances_BN786D","8"
