"from","to","Weight"
"Cambrai_CAMBR193","St. Gery_CAMBR235","9"
"Lyons_LYO70","Die_AVIGN127","9"
"Evora_PORT843","Santa Cruz de Coimbra_PORT1159","9"
"Evora_PORT843","St. James of Compostela_MADR382","9"
"Evora_PORT843","Braga_ESC10","9"
"Evora_PORT843","St. Rufus_LYO44","9"
"Evora_PORT843","Tortosa_MADR14604","9"
"Evora_PORT843","Grasse_CARP42","9"
"Santa Cruz de Coimbra_PORT1159","St. James of Compostela_MADR382","9"
"Santa Cruz de Coimbra_PORT1159","Braga_ESC10","9"
"Santa Cruz de Coimbra_PORT1159","St. Rufus_LYO44","9"
"Santa Cruz de Coimbra_PORT1159","Tortosa_MADR14604","9"
"Santa Cruz de Coimbra_PORT1159","Grasse_CARP42","9"
"St. James of Compostela_MADR382","Braga_ESC10","9"
"St. James of Compostela_MADR382","St. Rufus_LYO44","9"
"St. James of Compostela_MADR382","Tortosa_MADR14604","9"
"St. James of Compostela_MADR382","Grasse_CARP42","9"
"Braga_ESC10","St. Rufus_LYO44","9"
"Braga_ESC10","Tortosa_MADR14604","9"
"Braga_ESC10","Grasse_CARP42","9"
"St. Rufus_LYO44","Tortosa_MADR14604","9"
"St. Rufus_LYO44","Grasse_CARP42","9"
"Tortosa_MADR14604","Grasse_CARP42","9"
"Chaise-Dieu_VES14","Chaise-Dieu_CL-FD5009","9"
"Subiaco_SUB160","Zwiefalten_STUTT105","9"
"Jerusalem_BL1139","Hospitallers_MAZ355","9"
"Jerusalem_BL1139","Marguerite's Hours_BL36684","9"
"Jerusalem_BL1139","Brigittine_UPS489","9"
"Jerusalem_BL1139","Blaubeuren_STUTT118","9"
"Jerusalem_BL1139","Bayeux_GEN2712","9"
"Jerusalem_BL1139","Zwiefalten_STUTT117","9"
"Jerusalem_BL1139","Remiremont_BN1508","9"
"Jerusalem_BL1139","Hospitallers_STRASN1","9"
"Jerusalem_BL1139","Zwiefalten_STUTT116","9"
"Jerusalem_BL1139","Blaubeuren_STUTT222","9"
"Hospitallers_MAZ355","Marguerite's Hours_BL36684","9"
"Hospitallers_MAZ355","Brigittine_UPS489","9"
"Hospitallers_MAZ355","Blaubeuren_STUTT118","9"
"Hospitallers_MAZ355","Bayeux_GEN2712","9"
"Hospitallers_MAZ355","Zwiefalten_STUTT117","9"
"Hospitallers_MAZ355","Remiremont_BN1508","9"
"Hospitallers_MAZ355","Hospitallers_STRASN1","9"
"Hospitallers_MAZ355","Zwiefalten_STUTT116","9"
"Hospitallers_MAZ355","Blaubeuren_STUTT222","9"
"Marguerite's Hours_BL36684","Brigittine_UPS489","9"
"Marguerite's Hours_BL36684","Blaubeuren_STUTT118","9"
"Marguerite's Hours_BL36684","Bayeux_GEN2712","9"
"Marguerite's Hours_BL36684","Zwiefalten_STUTT117","9"
"Marguerite's Hours_BL36684","Remiremont_BN1508","9"
"Marguerite's Hours_BL36684","Hospitallers_STRASN1","9"
"Marguerite's Hours_BL36684","Zwiefalten_STUTT116","9"
"Marguerite's Hours_BL36684","Blaubeuren_STUTT222","9"
"Brigittine_UPS489","Blaubeuren_STUTT118","9"
"Brigittine_UPS489","Bayeux_GEN2712","9"
"Brigittine_UPS489","Zwiefalten_STUTT117","9"
"Brigittine_UPS489","Remiremont_BN1508","9"
"Brigittine_UPS489","Hospitallers_STRASN1","9"
"Brigittine_UPS489","Zwiefalten_STUTT116","9"
"Brigittine_UPS489","Blaubeuren_STUTT222","9"
"Blaubeuren_STUTT118","Bayeux_GEN2712","9"
"Blaubeuren_STUTT118","Zwiefalten_STUTT117","9"
"Blaubeuren_STUTT118","Remiremont_BN1508","9"
"Blaubeuren_STUTT118","Hospitallers_STRASN1","9"
"Blaubeuren_STUTT118","Zwiefalten_STUTT116","9"
"Blaubeuren_STUTT118","Blaubeuren_STUTT222","9"
"Bayeux_GEN2712","Zwiefalten_STUTT117","9"
"Bayeux_GEN2712","Remiremont_BN1508","9"
"Bayeux_GEN2712","Hospitallers_STRASN1","9"
"Bayeux_GEN2712","Zwiefalten_STUTT116","9"
"Bayeux_GEN2712","Blaubeuren_STUTT222","9"
"Zwiefalten_STUTT117","Remiremont_BN1508","9"
"Zwiefalten_STUTT117","Hospitallers_STRASN1","9"
"Zwiefalten_STUTT117","Zwiefalten_STUTT116","9"
"Zwiefalten_STUTT117","Blaubeuren_STUTT222","9"
"Remiremont_BN1508","Hospitallers_STRASN1","9"
"Remiremont_BN1508","Zwiefalten_STUTT116","9"
"Remiremont_BN1508","Blaubeuren_STUTT222","9"
"Hospitallers_STRASN1","Zwiefalten_STUTT116","9"
"Hospitallers_STRASN1","Blaubeuren_STUTT222","9"
"Zwiefalten_STUTT116","Blaubeuren_STUTT222","9"
"Camaldolese (Rome)_VAT7599","Camaldolese (Rome)_VAT7722","9"
"Camaldolese (Rome)_VAT7599","Camaldolese (Florence)_BL27171","9"
"Camaldolese (Rome)_VAT7599","Camaldolese_MIL1048","9"
"Camaldolese (Rome)_VAT7722","Camaldolese (Florence)_BL27171","9"
"Camaldolese (Rome)_VAT7722","Camaldolese_MIL1048","9"
"Camaldolese (Florence)_BL27171","Camaldolese_MIL1048","9"
"St. Eutizio_VALL8","Camaldolese_TOL14","9"
"St. Eutizio_VALL8","Nursia_VALL5","9"
"Camaldolese_TOL14","Nursia_VALL5","9"
"Zwiefalten_KRL60B","St. Lambrecht_BL18306B","9"
"Zwiefalten_KRL60B","Ochsenhausen_STUTT117","9"
"St. Lambrecht_BL18306B","Ochsenhausen_STUTT117","9"
"Dominican_CLG20","Ste Croix Paris_MAZ372","9"
"Dominican_CLG20","Teutonic Order_FULD122B","9"
"Dominican_CLG20","_STKH102","9"
"Dominican_CLG20","Uppsala_STKHTL","9"
"Dominican_CLG20","Skara_UPS97","9"
"Dominican_CLG20","Västeras_GEN1292","9"
"Dominican_CLG20","Abo_STKHSN1","9"
"Dominican_CLG20","Mercedarians_MADR14265","9"
"Dominican_CLG20","Dominican_CPHN632","9"
"Dominican_CLG20","Dominican Vienna_VIE1894","9"
"Ste Croix Paris_MAZ372","Teutonic Order_FULD122B","9"
"Ste Croix Paris_MAZ372","_STKH102","9"
"Ste Croix Paris_MAZ372","Uppsala_STKHTL","9"
"Ste Croix Paris_MAZ372","Skara_UPS97","9"
"Ste Croix Paris_MAZ372","Västeras_GEN1292","9"
"Ste Croix Paris_MAZ372","Abo_STKHSN1","9"
"Ste Croix Paris_MAZ372","Mercedarians_MADR14265","9"
"Ste Croix Paris_MAZ372","Dominican_CPHN632","9"
"Ste Croix Paris_MAZ372","Dominican Vienna_VIE1894","9"
"Teutonic Order_FULD122B","_STKH102","9"
"Teutonic Order_FULD122B","Uppsala_STKHTL","9"
"Teutonic Order_FULD122B","Skara_UPS97","9"
"Teutonic Order_FULD122B","Västeras_GEN1292","9"
"Teutonic Order_FULD122B","Abo_STKHSN1","9"
"Teutonic Order_FULD122B","Mercedarians_MADR14265","9"
"Teutonic Order_FULD122B","Dominican_CPHN632","9"
"Teutonic Order_FULD122B","Dominican Vienna_VIE1894","9"
"_STKH102","Uppsala_STKHTL","9"
"_STKH102","Skara_UPS97","9"
"_STKH102","Västeras_GEN1292","9"
"_STKH102","Abo_STKHSN1","9"
"_STKH102","Mercedarians_MADR14265","9"
"_STKH102","Dominican_CPHN632","9"
"_STKH102","Dominican Vienna_VIE1894","9"
"Uppsala_STKHTL","Skara_UPS97","9"
"Uppsala_STKHTL","Västeras_GEN1292","9"
"Uppsala_STKHTL","Abo_STKHSN1","9"
"Uppsala_STKHTL","Mercedarians_MADR14265","9"
"Uppsala_STKHTL","Dominican_CPHN632","9"
"Uppsala_STKHTL","Dominican Vienna_VIE1894","9"
"Skara_UPS97","Västeras_GEN1292","9"
"Skara_UPS97","Abo_STKHSN1","9"
"Skara_UPS97","Mercedarians_MADR14265","9"
"Skara_UPS97","Dominican_CPHN632","9"
"Skara_UPS97","Dominican Vienna_VIE1894","9"
"Västeras_GEN1292","Abo_STKHSN1","9"
"Västeras_GEN1292","Mercedarians_MADR14265","9"
"Västeras_GEN1292","Dominican_CPHN632","9"
"Västeras_GEN1292","Dominican Vienna_VIE1894","9"
