"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","rowname.unlist","n"
"1",2,6,36,NA,75,84,67,NA,63,66,81,NA,"Ambrosian_BN2984",1
"2",2,6,NA,NA,36,67,NA,NA,42,62,NA,NA,"Ambrosian_BN1708",1
"3",2,6,NA,NA,36,67,NA,NA,75,84,NA,NA,"Ambrosian_MCR55",1
"4",2,6,NA,NA,36,75,NA,NA,63,85,NA,NA,"Ambrosian_MIL96",1
"5",2,6,NA,NA,75,84,NA,NA,63,66,NA,NA,"Ambrosian_MIL2102",1
"6",10,10,10,NA,10,10,10,NA,10,10,10,NA,"Otto of Riedenburg's Pontifici_BN1231S1",1
"7",11,10,84,NA,10,36,38,NA,67,75,12,NA,"St. Benoit-sur-Loire_ORLE125D",1
"8",13,14,44,NA,57,24,38,NA,28,40,58,NA,"St. Denis_BN976",1
"9",13,14,44,NA,57,24,38,NA,68,40,58,NA,"St. Denis_BN976E",1
"10",13,44,76,NA,10,58,38,NA,83,18,12,NA,"St. Denis_BN1072E",1
"11",13,44,76,NA,10,58,83,NA,38,NA,NA,NA,"St. Corneille-de-Compiegne_BN17329",1
"12",14,24,46,NA,1,18,83,NA,32,68,38,NA,"Seiler-Spital Berne_BERNEA90",1
"13",14,24,NA,NA,32,68,57,NA,NA,NA,NA,NA,"_VAT28",1
"14",14,25,13,NA,32,93,58,NA,72,68,38,NA,"_ARS288",1
"15",14,25,13,NA,93,58,1,NA,83,82,38,NA,"Renaix_BL1211",1
"16",14,32,72,NA,24,68,40,NA,89,46,38,NA,"Cambrai_CAMBR193 St. Gery_CAMBR235",2
"17",14,36,46,NA,51,75,95,NA,19,94,69,38,"Die_AVIGN127",1
"18",14,36,46,NA,51,75,95,NA,19,94,69,NA,"Lyons_LYO70",1
"19",14,36,46,NA,51,75,95,NA,NA,94,69,NA,"Lyons_S.1935-2",1
"20",14,36,46,NA,67,51,33,NA,60,95,53,NA,"Carthusian_CHARL182",1
"21",14,36,67,NA,46,51,75,NA,60,95,53,NA,"Grandmontine_BN16306",1
"22",14,36,72,NA,32,68,24,NA,51,56,38,NA,"Evora_PORT843 Santa Cruz de Coimbra_PORT1159 St. James of Compostela_MADR382 Braga_ESC10 St. Rufus_LYO44 Tortosa_MADR14604 Grasse_CARP42",7
"23",14,36,72,NA,32,NA,NA,NA,NA,NA,NA,NA,"St. Rufus_CARP719",1
"24",14,36,75,1,51,67,64,79,46,95,60,38,"Chaise-Dieu_CL-FD5009",1
"25",14,36,75,NA,51,67,64,NA,46,95,60,NA,"Chaise-Dieu_VES14",1
