"","x"
"1","CAMBR193"
"2","CAMBR235"
"3","CAMBR46"
"4","CAMBR37"
"5","CAMBR93"
"6","CAMBR35"
"7","CAMBR1233"
"8","ARS604"
"9","CAMBR33"
"10","CAMBR29"
"11","CAMBR106"
"12","CAMBR135"
"13","METZ582"
"14","CAMBR97"
"15","CAMBR55"
"16","CAMBR118"
"17","CAMBR1343"
"18","FRFT107"
"19","CAMBR105"
"20","CAMBR203"
"21","BRU2348"
"22","BN27727"
"23","GEN361"
"24","CAMBR6"
"25","CAMBR1014"
"26","LYO70"
"27","LYO1410"
"28","MAZ817"
"29","EBAI772"
"30","ARS2964"
"31","S.1937-1"
"32","CHARL182"
"33","TREV434"
"34","DIJON617"
"35","MARS119"
"36","METZ474"
"37","METZ589"
"38","ST.OM427"
"39","VAT10296"
"40","CPHC768"
"41","BERL74"
"42","S.LON(12)"
"43","METZ466"
"44","WAG286"
"45","BN6250"
"46","AVIGN110"
"47","MCR414"
"48","BN1696"
"49","BN27975"
"50","BN16306"
"51","GEN2629"
"52","LIMO69"
"53","LIMO78"
"54","PORT843"
"55","PORT1159"
"56","MADR382"
"57","ESC10"
"58","LYO44"
"59","VALCE43"
"60","MIL73"
"61","VALCE1500"
"62","LISB253"
"63","OSA1531"
"64","MADR14604"
"65","MADR3827"
"66","CARP42"
"67","VES14"
"68","CL-FD5009"
"69","BN1091"
"70","BN1037"
"71","BN4537"
"72","CAM27"
"73","BN763"
"74","BN1309(A)"
"75","GEN2679"
"76","MCR484"
"77","CPHT549D"
"78","MAZ4519"
"79","VIE2706"
"80","EBAISN"
"81","HORT1521"
"82","SUB160"
"83","STUTT105"
"84","EVREUX121"
"85","BAYEUX74D"
"86","BAYEUX59"
"87","BN1426"
"88","BAYEUX72"
"89","CAEN18"
"90","BAYEUX76"
"91","BN1597"
"92","ARS279"
"93","BAYEUX119"
"94","BAYEUX121"
"95","S.1953-1"
"96","BN13285"
"97","BL1139"
"98","MAZ355"
"99","MARS111"
"100","WANDD"
"101","BL36684"
"102","UPS489"
"103","STUTT118"
"104","GEN2712"
"105","MAZ486"
"106","MARS109"
"107","UTR52"
"108","OXF2"
"109","ARS424"
"110","STUTT117"
"111","BN1508"
"112","MAZ23854"
"113","BN1875"
"114","STRASN1"
"115","STUTT116"
"116","STUTT222"
"117","VAT7599"
"118","VAT7722"
"119","BL27171"
"120","MIL1048"
"121","VALL8"
"122","TOL14"
"123","VALL5"
"124","KRL60B"
"125","CLG20"
"126","BL23935"
"127","OXF393"
"128","SABINA2"
"129","FULD121"
"130","TREV403"
"131","SABINA1"
"132","BRU9391"
"133","STUTT152"
"134","BRU3585"
"135","BRU6429"
"136","MAZ372"
"137","BAMB92"
"138","CPHG3450"
"139","CPHN30"
"140","ESC15"
"141","GEN2693"
"142","MAZ381"
"143","MONTS759"
"144","MONTS763"
"145","FULD122B"
"146","FREIB283"
"147","FREIB287"
"148","HAAG60"
"149","STKH102"
"150","VAT30"
"151","FREIB136"
"152","STKHTL"
"153","CAM1"
"154","UPS97"
"155","BL1734B"
"156","BN10532"
"157","BRU19004B"
"158","GEN1292"
"159","STKHSN1"
"160","BN27"
"161","MADR14265"
"162","STRA2"
"163","CPHN632"
"164","LUCCA601"
"165","LUCCA606"
"166","BL155"
"167","BN770"
"168","CPHN133"
"169","BLU-C"
"170","HEREFDSN"
"171","BL38116"
"172","ARS570"
"173","BL305"
"174","BN10478D"
"175","S.1893"
"176","ARS196"
"177","LAMB193"
"178","BN1361"
"179","VAT4757"
"180","ARS616"
"181","BN4600"
"182","BN765"
"183","BL33385"
"184","BRU6291"
"185","S.LON(1)"
"186","HAAG68"
"187","MUN23035"
"188","METZ333"
"189","VAT514"
"190","S.LON(3)"
"191","CAEN17"
"192","S.1953-2"
"193","M.C.1800"
"194","MACONSN"
"195","REN15939"
"196","BN1403"
"197","BN844"
"198","DUN(1)"
"199","BN10533"
"200","BAMB80"
"201","BN1275"
"202","CPHT545"
"203","ARS560"
"204","ARS643"
"205","HAAG73B"
"206","BN1400"
"207","CPHT547"
"208","BN1323"
"209","S.1937-5"
"210","BRU2890"
"211","METZ462"
"212","BN1063"
"213","S.LYO(1)"
"214","S.1935-4"
"215","TOUL131"
"216","CPHT537"
"217","MTP166"
"218","DUN(4)"
"219","BN1272"
"220","BN13243D"
"221","ROUEN217"
"222","GEN1265"
"223","BN3081"
"224","BN17998"
"225","MEN(1)"
"226","CPHA65"
"227","MAZ506"
"228","GEN2722"
"229","LISB18"
"230","OXF26"
"231","CLAIRV196"
"232","BAMB78"
"233","BN2439"
"234","VAT118"
"235","VAT3767"
"236","CPHT548"
"237","BN1791"
"238","MAZ800"
"239","VAT12"
"240","BN10551"
"241","M.C.10955"
"242","BAMB75"
"243","S.1938-8"
"244","ARS918"
"245","BLSN(2)"
"246","CAEN1743"
"247","BN1610"
"248","BN2937"
"249","BN1790"
"250","GEN187"
"251","METZ1546"
"252","METZ104"
"253","LYO23"
"254","BL1611"
"255","S.LON(4)"
"256","GEN225"
"257","BL230"
"258","EDINB13"
"259","OXFL17"
"260","DARM858"
"261","CAM119D"
"262","CAM2"
"263","CAM2602"
"264","BN786D"
"265","GEN113"
"266","ROUEN326"
"267","S.1938-11"
"268","S.1935-5"
"269","BL2849"
"270","DOUAI167"
"271","FALKNER2"
"272","LAMB560D"
"273","LAMB561D"
"274","BN17294D"
