from;to;weight
CAMBR193;CAMBR235;9
CAMBR193;CAMBR46;9
CAMBR193;CAMBR37;9
CAMBR193;CAMBR93;9
CAMBR193;CAMBR35;9
CAMBR193;CAMBR1233;9
CAMBR193;ARS604;9
CAMBR193;CAMBR33;9
CAMBR193;CAMBR29;9
CAMBR193;CAMBR106;9
CAMBR193;CAMBR135;9
CAMBR193;METZ582;9
CAMBR193;CAMBR97;9
CAMBR193;CAMBR55;9
CAMBR193;CAMBR118;9
CAMBR193;CAMBR1343;9
CAMBR193;FRFT107;9
CAMBR193;CAMBR105;9
CAMBR193;CAMBR203;9
CAMBR193;BRU2348;9
CAMBR193;BN27727;9
CAMBR193;GEN361;9
CAMBR193;CAMBR6;9
CAMBR193;CAMBR1014;9
CAMBR193;BN1720;9
CAMBR235;CAMBR46;9
CAMBR235;CAMBR37;9
CAMBR235;CAMBR93;9
CAMBR235;CAMBR35;9
CAMBR235;CAMBR1233;9
CAMBR235;ARS604;9
CAMBR235;CAMBR33;9
CAMBR235;CAMBR29;9
CAMBR235;CAMBR106;9
CAMBR235;CAMBR135;9
CAMBR235;METZ582;9
CAMBR235;CAMBR97;9
CAMBR235;CAMBR55;9
CAMBR235;CAMBR118;9
CAMBR235;CAMBR1343;9
CAMBR235;FRFT107;9
CAMBR235;CAMBR105;9
CAMBR235;CAMBR203;9
CAMBR235;BRU2348;9
CAMBR235;BN27727;9
CAMBR235;GEN361;9
CAMBR235;CAMBR6;9
CAMBR235;CAMBR1014;9
CAMBR235;BN1720;9
CAMBR46;CAMBR37;9
CAMBR46;CAMBR93;9
CAMBR46;CAMBR35;9
CAMBR46;CAMBR1233;9
CAMBR46;ARS604;9
CAMBR46;CAMBR33;9
CAMBR46;CAMBR29;9
CAMBR46;CAMBR106;9
CAMBR46;CAMBR135;9
CAMBR46;METZ582;9
CAMBR46;CAMBR97;9
CAMBR46;CAMBR55;9
CAMBR46;CAMBR118;9
CAMBR46;CAMBR1343;9
CAMBR46;FRFT107;9
CAMBR46;CAMBR105;9
CAMBR46;CAMBR203;9
CAMBR46;BRU2348;9
CAMBR46;BN27727;9
CAMBR46;GEN361;9
CAMBR46;CAMBR6;9
