"ID","Location","Set"
"BN2984","Ambrosian","2_6_36_75_84_67_63_66_81"
"BERNEA90","Seiler-Spital, Berne","14_24_46_1_18_83_32_68_38"
"ARS288","","14_25_13_32_93_58_72_68_38"
"BL1211","Renaix","14_25_13_93_58_1_83_82_38"
"CAMBR193","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR235","St. Gery","14_32_72_24_68_40_89_46_38"
"CAMBR46","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR37","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR93","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR35","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR1233","Cambrai","14_32_72_24_68_40_89_46_38"
"ARS604","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR33","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR29","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR106","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR135","Cambrai","14_32_72_24_68_40_89_46_38"
"METZ582","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR97","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR55","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR118","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR1343","Cambrai","14_32_72_24_68_40_89_46_38"
"FRFT107","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR105","St. Gery","14_32_72_24_68_40_89_46_38"
"CAMBR203","St. Gery","14_32_72_24_68_40_89_46_38"
"BRU2348","Cambrai","14_32_72_24_68_40_89_46_38"
"BN27727","Cambrai","14_32_72_24_68_40_89_46_38"
"GEN361","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR6","Cambrai","14_32_72_24_68_40_89_46_38"
"CAMBR1014","Cambrai","14_32_72_24_68_40_89_46_38"
"BN1720","Cambrai","14_32_72_24_68_40_89_46_38"
"LYO70","Lyons","14_36_46_51_75_95_19_94_69"
"LYO1410","Lyons","14_36_46_51_75_95_19_94_69"
"MAZ817","Lyons","14_36_46_51_75_95_19_94_69"
"EBAI772","Lyons","14_36_46_51_75_95_19_94_69"
"ARS2964","Lyons","14_36_46_51_75_95_19_94_69"
